quantifier,dataset,sample_size,sampling_seed,iteration,alpha,pred_prev,abs_error,run_time
(KNN)Top-1,AedesQuinx,100,965,5,0.63,0.732840959765991,0.10284095976599095,0.19680609996430576
(KNN)Top-1,AedesQuinx,100,690,6,0.63,0.655843216410409,0.025843216410408987,0.22441679995972663
(KNN)Top-1,AedesQuinx,100,913,7,0.63,0.7875428656519546,0.15754286565195463,0.18820889998460189
(KNN)Top-1,AedesQuinx,100,891,8,0.63,0.583057742227602,0.04694225777239802,0.0779566999990493
(KNN)Top-1,AedesQuinx,100,208,9,0.63,0.7082141708590599,0.0782141708590599,0.14511649997439235
(KNN)Top-1,AedesQuinx,100,882,10,0.63,0.6845947349773996,0.05459473497739964,0.1767091999645345
(KNN)Top-1,AedesQuinx,100,102,1,0.68,0.7261376613235231,0.04613766132352304,0.17185650003375486
(KNN)Top-1,AedesQuinx,100,263,2,0.68,0.6897999078439382,0.009799907843938138,0.1456447999808006
(KNN)Top-1,AedesQuinx,100,412,3,0.68,0.6521763604968822,0.027823639503117836,0.20662099996116012
(KNN)Top-1,AedesQuinx,100,308,4,0.68,0.6529916170981175,0.027008382901882566,0.17725459998473525
(KNN)Top-1,AedesQuinx,100,565,5,0.68,0.6388394729215511,0.04116052707844897,0.08538250002311543
(KNN)Top-1,AedesQuinx,100,145,6,0.68,0.6187070426423174,0.0612929573576827,0.20040570001583546
(KNN)Top-1,AedesQuinx,100,285,7,0.68,0.6923389646612065,0.01233896466120643,0.1991211999556981
(KNN)Top-1,AedesQuinx,100,780,8,0.68,0.7215587444293723,0.04155874442937224,0.13698950002435595
(KNN)Top-1,AedesQuinx,100,24,9,0.68,0.7307856977872601,0.05078569778726005,0.20025019999593496
(KNN)Top-1,AedesQuinx,100,135,10,0.68,0.7204580305455719,0.040458030545571844,0.19723829999566078
(KNN)Top-1,AedesQuinx,100,788,1,0.74,0.7055652395280043,0.034434760471995673,0.2014795999857597
(KNN)Top-1,AedesQuinx,100,545,2,0.74,0.735954177947614,0.004045822052386017,0.1590128000243567
(KNN)Top-1,AedesQuinx,100,360,3,0.74,0.7279866359828542,0.012013364017145811,0.18497930001467466
(KNN)Top-1,AedesQuinx,100,20,4,0.74,0.7272799255357569,0.012720074464243059,0.24790010001743212
(KNN)Top-1,AedesQuinx,100,101,5,0.74,0.7365216553651567,0.003478344634843311,0.19505430001299828
(KNN)Top-1,AedesQuinx,100,617,6,0.74,0.7053104555245443,0.03468954447545569,0.16025739995529875
(KNN)Top-1,AedesQuinx,100,982,7,0.74,0.6730734638506494,0.06692653614935062,0.20675819995813072
(KNN)Top-1,AedesQuinx,100,276,8,0.74,0.7536838776326781,0.013683877632678088,0.130783699976746
(KNN)Top-1,AedesQuinx,100,684,9,0.74,0.686627068136147,0.053372931863852946,0.18875679996563122
(KNN)Top-1,AedesQuinx,100,312,10,0.74,0.7168370346513666,0.02316296534863338,0.19312900002114475
(KNN)Top-1,AedesQuinx,100,512,1,0.79,0.8953996693685491,0.10539966936854905,0.20384910004213452
(KNN)Top-1,AedesQuinx,100,804,2,0.79,0.7354649717770358,0.05453502822296419,0.1734340999973938
(KNN)Top-1,AedesQuinx,100,762,3,0.79,0.7686480836171479,0.021351916382852165,0.17590760003076866
(KNN)Top-1,AedesQuinx,100,865,4,0.79,0.7373559440834537,0.052644055916546306,0.1907818999607116
(KNN)Top-1,AedesQuinx,100,220,5,0.79,0.8160413112050863,0.026041311205086237,0.11767509998753667
(KNN)Top-1,AedesQuinx,100,748,6,0.79,0.7154357389479102,0.0745642610520898,0.21848049998516217
(KNN)Top-1,AedesQuinx,100,746,7,0.79,0.8468272918370551,0.05682729183705504,0.1652485000086017
(KNN)Top-1,AedesQuinx,100,995,8,0.79,0.8911770601370241,0.1011770601370241,0.02753719995962456
(KNN)Top-1,AedesQuinx,100,892,9,0.79,0.7583778138849482,0.031622186115051854,0.02636530000017956
(KNN)Top-1,AedesQuinx,100,381,10,0.79,0.8174371738224032,0.027437173822403182,0.026672299951314926
(KNN)Top-1,AedesQuinx,100,972,1,0.84,0.8251436638840276,0.014856336115972368,0.025919000036083162
(KNN)Top-1,AedesQuinx,100,850,2,0.84,0.8401922142479727,0.0001922142479727773,0.026956000016070902
(KNN)Top-1,AedesQuinx,100,577,3,0.84,0.8967995456170682,0.05679954561706824,0.02696830005152151
(KNN)Top-1,AedesQuinx,100,201,4,0.84,0.9027144807928105,0.0627144807928105,0.026794000004883856
(KNN)Top-1,AedesQuinx,100,238,5,0.84,0.8003556565416334,0.03964434345836654,0.026437500026077032
(KNN)Top-1,AedesQuinx,100,663,6,0.84,0.8699477539578407,0.029947753957840773,0.028139500005636364
(KNN)Top-1,AedesQuinx,100,703,7,0.84,0.7850897674362636,0.054910232563736394,0.026078600028995425
(KNN)Top-1,AedesQuinx,100,647,8,0.84,0.8781935267655183,0.03819352676551835,0.02710020000813529
(KNN)Top-1,AedesQuinx,100,964,9,0.84,0.8333256536744458,0.006674346325554192,0.026072899985592812
(KNN)Top-1,AedesQuinx,100,744,10,0.84,0.8376877029393703,0.002312297060629631,0.027385299967136234
(KNN)Top-1,AedesQuinx,100,25,1,0.89,0.979438414804782,0.08943841480478198,0.02696099999593571
(KNN)Top-1,AedesQuinx,100,38,2,0.89,0.8914715236164328,0.0014715236164327683,0.026380399998743087
(KNN)Top-1,AedesQuinx,100,871,3,0.89,0.7624354400322655,0.12756455996773453,0.02704069996252656
(KNN)Top-1,AedesQuinx,100,706,4,0.89,0.9184447763962905,0.028444776396290505,0.02558129996759817
(KNN)Top-1,AedesQuinx,100,33,5,0.89,0.9636219165459303,0.07362191654593031,0.026134399988222867
(KNN)Top-1,AedesQuinx,100,229,6,0.89,0.8804627457430565,0.009537254256943517,0.027924699999857694
(KNN)Top-1,AedesQuinx,100,431,7,0.89,0.9712756515586827,0.08127565155868266,0.027294700033962727
(KNN)Top-1,AedesQuinx,100,920,8,0.89,0.8740724452720524,0.0159275547279476,0.027204499987419695
(KNN)Top-1,AedesQuinx,100,751,9,0.89,0.8717753810482344,0.018224618951765637,0.028022199985571206
(KNN)Top-1,AedesQuinx,100,994,10,0.89,0.9113547274695746,0.021354727469574564,0.027585099975112826
(KNN)Top-1,AedesQuinx,100,568,1,0.95,0.9588347449460827,0.008834744946082718,0.02597829996375367
(KNN)Top-1,AedesQuinx,100,960,2,0.95,0.9659466900529116,0.015946690052911605,0.025761800003238022
(KNN)Top-1,AedesQuinx,100,356,3,0.95,0.9985301190620056,0.04853011906200566,0.026491799973882735
(KNN)Top-1,AedesQuinx,100,898,4,0.95,0.9523544933165825,0.002354493316582551,0.02609260001918301
(KNN)Top-1,AedesQuinx,100,590,5,0.95,0.9999554476059523,0.049955447605952386,0.02642439998453483
(KNN)Top-1,AedesQuinx,100,335,6,0.95,0.9267755247922121,0.02322447520778781,0.025987100030761212
(KNN)Top-1,AedesQuinx,100,799,7,0.95,0.9999554476059523,0.049955447605952386,0.025803199969232082
(KNN)Top-1,AedesQuinx,100,330,8,0.95,0.979165226833859,0.029165226833859026,0.025863500020932406
(KNN)Top-1,AedesQuinx,100,12,9,0.95,0.8166253543687555,0.13337464563124446,0.02631049999035895
(KNN)Top-1,AedesQuinx,100,829,10,0.95,0.9999554476059523,0.049955447605952386,0.02605280000716448
(KNN)Top-1,AedesQuinx,100,754,1,1.0,0.9946829937310717,0.0053170062689282815,0.026497299957554787
(KNN)Top-1,AedesQuinx,100,742,2,1.0,0.9999554476059523,4.455239404765887e-05,0.026421000016853213
(KNN)Top-1,AedesQuinx,100,820,3,1.0,0.9999554476059523,4.455239404765887e-05,0.0272034999798052
(KNN)Top-1,AedesQuinx,100,344,4,1.0,0.9999554476059523,4.455239404765887e-05,0.02613720000954345
(KNN)Top-1,AedesQuinx,100,928,5,1.0,0.9999554476059523,4.455239404765887e-05,0.02591470000334084
(KNN)Top-1,AedesQuinx,100,554,6,1.0,0.9999554476059523,4.455239404765887e-05,0.026035499991849065
(KNN)Top-1,AedesQuinx,100,379,7,1.0,0.9999554476059523,4.455239404765887e-05,0.02621999999973923
(KNN)Top-1,AedesQuinx,100,348,8,1.0,0.9789960669627094,0.021003933037290645,0.02619050000794232
(KNN)Top-1,AedesQuinx,100,840,9,1.0,0.9488003005203643,0.05119969947963565,0.026629699976183474
(KNN)Top-1,AedesQuinx,100,114,10,1.0,0.989833298132424,0.010166701867575956,0.025864599971100688
(KNN)Top-1,AedesSex,100,623,1,0.0,4.4552394047661854e-05,4.4552394047661854e-05,0.025378799997270107
(KNN)Top-1,AedesSex,100,243,2,0.0,4.4552394047661854e-05,4.4552394047661854e-05,0.02530869998736307
(KNN)Top-1,AedesSex,100,18,3,0.0,4.4552394047661854e-05,4.4552394047661854e-05,0.025368999980855733
(KNN)Top-1,AedesSex,100,549,4,0.0,4.4552394047661854e-05,4.4552394047661854e-05,0.024583599995821714
(KNN)Top-1,AedesSex,100,447,5,0.0,4.4552394047661854e-05,4.4552394047661854e-05,0.02655950002372265
(KNN)Top-1,AedesSex,100,954,6,0.0,4.4552394047661854e-05,4.4552394047661854e-05,0.02629569999407977
(KNN)Top-1,AedesSex,100,562,7,0.0,4.4552394047661854e-05,4.4552394047661854e-05,0.02584079996449873
(KNN)Top-1,AedesSex,100,739,8,0.0,4.4552394047661854e-05,4.4552394047661854e-05,0.025822099996730685
(KNN)Top-1,AedesSex,100,84,9,0.0,4.4552394047661854e-05,4.4552394047661854e-05,0.025899300002492964
(KNN)Top-1,AedesSex,100,51,10,0.0,0.02154326065117245,0.02154326065117245,0.026621999975759536
(KNN)Top-1,AedesSex,100,949,1,0.05,0.05946289732033673,0.009462897320336727,0.02519459999166429
(KNN)Top-1,AedesSex,100,144,2,0.05,0.04800384019648056,0.0019961598035194428,0.02475770004093647
(KNN)Top-1,AedesSex,100,940,3,0.05,0.04867131848628288,0.0013286815137171226,0.025666099973022938
(KNN)Top-1,AedesSex,100,575,4,0.05,0.03827150581584855,0.01172849418415145,0.025143600010778755
(KNN)Top-1,AedesSex,100,304,5,0.05,0.06148126434774695,0.011481264347746947,0.024695000029169023
(KNN)Top-1,AedesSex,100,462,6,0.05,0.05072355664530062,0.0007235566453006187,0.025897700048517436
(KNN)Top-1,AedesSex,100,296,7,0.05,0.05086974418826952,0.0008697441882695167,0.026090600003954023
(KNN)Top-1,AedesSex,100,22,8,0.05,0.06192398744802159,0.011923987448021589,0.025788600032683462
(KNN)Top-1,AedesSex,100,17,9,0.05,0.048602164925917526,0.0013978350740824763,0.027294800034724176
(KNN)Top-1,AedesSex,100,317,10,0.05,0.033978127782132966,0.016021872217867036,0.024518599966540933
(KNN)Top-1,AedesSex,100,917,1,0.11,0.12856406990719516,0.018564069907195155,0.025001699978020042
(KNN)Top-1,AedesSex,100,271,2,0.11,0.10942136180604117,0.0005786381939588275,0.02472230000421405
(KNN)Top-1,AedesSex,100,605,3,0.11,0.10197684071877364,0.008023159281226364,0.025440199999138713
(KNN)Top-1,AedesSex,100,824,4,0.11,0.10341190422186894,0.006588095778131062,0.025459700031206012
(KNN)Top-1,AedesSex,100,68,5,0.11,0.10102649116488394,0.008973508835116065,0.025067000009585172
(KNN)Top-1,AedesSex,100,434,6,0.11,0.10381248419452208,0.006187515805477925,0.02512659999774769
(KNN)Top-1,AedesSex,100,977,7,0.11,0.11799367043270237,0.007993670432702368,0.025480300013441592
(KNN)Top-1,AedesSex,100,909,8,0.11,0.10656822543071662,0.003431774569283383,0.02533259999472648
(KNN)Top-1,AedesSex,100,594,9,0.11,0.10710075488876825,0.0028992451112317547,0.02558139996835962
(KNN)Top-1,AedesSex,100,923,10,0.11,0.09036745750463315,0.019632542495366848,0.025326000002678484
(KNN)Top-1,AedesSex,100,881,1,0.16,0.15774973924866836,0.0022502607513316397,0.026417799992486835
(KNN)Top-1,AedesSex,100,593,2,0.16,0.16192757582589679,0.0019275758258967823,0.026120399998035282
(KNN)Top-1,AedesSex,100,435,3,0.16,0.16256603686735427,0.0025660368673542655,0.025377400044817477
(KNN)Top-1,AedesSex,100,772,4,0.16,0.14360705122188427,0.01639294877811573,0.02640830003656447
(KNN)Top-1,AedesSex,100,958,5,0.16,0.13971254002555272,0.02028745997444728,0.02558299998054281
(KNN)Top-1,AedesSex,100,295,6,0.16,0.15275607366548355,0.007243926334516454,0.02590880001662299
(KNN)Top-1,AedesSex,100,403,7,0.16,0.16640729301045237,0.0064072930104523695,0.025916499958839267
(KNN)Top-1,AedesSex,100,375,8,0.16,0.16362615760306254,0.0036261576030625353,0.025422299979254603
(KNN)Top-1,AedesSex,100,37,9,0.16,0.16171734421648443,0.0017173442164844233,0.02495459996862337
(KNN)Top-1,AedesSex,100,651,10,0.16,0.14262507120854861,0.01737492879145139,0.024998800014145672
(KNN)Top-1,AedesSex,100,963,1,0.21,0.20464644555293637,0.005353554447063619,0.025228400016203523
(KNN)Top-1,AedesSex,100,459,2,0.21,0.2087876638637864,0.0012123361362136043,0.025611799967009574
(KNN)Top-1,AedesSex,100,396,3,0.21,0.2017215444455921,0.008278455554407899,0.025007100019138306
(KNN)Top-1,AedesSex,100,392,4,0.21,0.209308456985613,0.0006915430143869805,0.026388500002212822
(KNN)Top-1,AedesSex,100,615,5,0.21,0.22012214745883113,0.010122147458831138,0.025673999974969774
(KNN)Top-1,AedesSex,100,217,6,0.21,0.2350454904084222,0.025045490408422216,0.02527929999632761
(KNN)Top-1,AedesSex,100,810,7,0.21,0.19080703065072424,0.01919296934927575,0.02539030002662912
(KNN)Top-1,AedesSex,100,695,8,0.21,0.19502267857067934,0.01497732142932065,0.027512800006661564
(KNN)Top-1,AedesSex,100,166,9,0.21,0.21631675468939504,0.006316754689395049,0.02435729996068403
(KNN)Top-1,AedesSex,100,78,10,0.21,0.20506164427988638,0.004938355720113613,0.025454999995417893
(KNN)Top-1,AedesSex,100,711,1,0.26,0.28548230576947525,0.025482305769475244,0.02682610001647845
