,predicted_ranking,predicted_ranking_weights,predicted_ranking_arr,true_ranking,true_ranking_weights,true_ranking_arr
23_cmc,"('DyS', 'SORD', 'HDy', 'MAX', 'SMM', 'X', 'PCC', 'MS', 'ACC', 'CC', 'PACC')","[0.10040512 0.1003347  0.10006628 0.09992259 0.09980279 0.09947932
 0.08441326 0.08284907 0.08040341 0.07622595 0.0760975 ]","(np.float64(1.117789447196424), np.float64(1.1170055221399295), np.float64(1.114017265412469), np.float64(1.112417539853466), np.float64(1.1110838398951306), np.float64(1.107482662905221), np.float64(0.9397554199231071), np.float64(0.9223415950188298), np.float64(0.8951145075367932), np.float64(0.8486078031684656), np.float64(0.8471777556773666))","('MS', 'SMM', 'SORD', 'DyS', 'MAX', 'X', 'ACC', 'HDy', 'CC', 'PCC', 'PACC')","[0.09616078 0.09600749 0.09583928 0.09530611 0.09455607 0.09426333
 0.09393966 0.09000878 0.084221   0.08359226 0.07610525]","(np.float64(1.0629458695877712), np.float64(1.0612514970618474), np.float64(1.0593921325817943), np.float64(1.053498574176833), np.float64(1.0452076600255757), np.float64(1.0419717963989386), np.float64(1.0383939690242818), np.float64(0.9949426545865461), np.float64(0.9309654747726057), np.float64(0.9240154936462573), np.float64(0.8412553377772379))"
28_optdigits,"('SORD', 'DyS', 'MS', 'SMM', 'X', 'MAX', 'HDy', 'ACC', 'PACC', 'CC', 'PCC')","[0.09122967 0.09121261 0.09115511 0.09114827 0.09113139 0.09107165
 0.09098011 0.09096421 0.09081957 0.09041674 0.08987067]","(np.float64(1.0035438140359865), np.float64(1.0033561132799276), np.float64(1.0027236237386057), np.float64(1.0026484310005237), np.float64(1.002462717349913), np.float64(1.0018055921539346), np.float64(1.0007985638493586), np.float64(1.000623648474851), np.float64(0.9990325948506186), np.float64(0.9946014498920658), np.float64(0.988594496916624))","('SMM', 'MS', 'SORD', 'ACC', 'MAX', 'X', 'DyS', 'PACC', 'HDy', 'CC', 'PCC')","[0.09180096 0.0917885  0.09175866 0.09164271 0.09160772 0.09160772
 0.09146924 0.09100748 0.090092   0.08907652 0.08814848]","(np.float64(1.0099724168787214), np.float64(1.009835364584153), np.float64(1.0095070163286284), np.float64(1.0082313917226924), np.float64(1.0078464357652157), np.float64(1.0078464357652157), np.float64(1.006322958033949), np.float64(1.0012427635276884), np.float64(0.991170848967301), np.float64(0.979998765039068), np.float64(0.9697886863574098))"
294_satellite_image,"('DyS', 'HDy', 'SORD', 'SMM', 'MS', 'ACC', 'PACC', 'MAX', 'CC', 'X', 'PCC')","[0.09124051 0.09119597 0.09111282 0.09108146 0.09106651 0.0910251
 0.0909403  0.09088912 0.09078154 0.09064903 0.09001764]","(np.float64(1.003657575628321), np.float64(1.003167573252231), np.float64(1.0022529507587814), np.float64(1.001907922562752), np.float64(1.0017434845401116), np.float64(1.001288012812967), np.float64(1.0003551342704298), np.float64(0.999792191186016), np.float64(0.9986088262919038), np.float64(0.9971512032213221), np.float64(0.9902058173607013))","('DyS', 'SORD', 'MS', 'SMM', 'ACC', 'X', 'PACC', 'MAX', 'HDy', 'CC', 'PCC')","[0.09121123 0.09118622 0.09116443 0.09114601 0.09109016 0.09101915
 0.09096249 0.09091455 0.09088409 0.09041786 0.09000381]","(np.float64(1.0033376093610429), np.float64(1.0030624742081116), np.float64(1.0028228335391662), np.float64(1.002620263278112), np.float64(1.002005853426195), np.float64(1.001224679640809), np.float64(1.0006015158935635), np.float64(1.0000741605236285), np.float64(0.9997390511641505), np.float64(0.9946104100717633), np.float64(0.9900558619087866))"
2dplanes,"('DyS', 'SORD', 'SMM', 'MS', 'MAX', 'X', 'ACC', 'PACC', 'HDy', 'CC', 'PCC')","[0.0937831  0.0934368  0.09340613 0.09331801 0.09302368 0.09261528
 0.09257581 0.09149968 0.09134364 0.08292054 0.08207733]","(np.float64(1.0335897040594342), np.float64(1.0297731073608687), np.float64(1.0294350338788745), np.float64(1.0284638567427224), np.float64(1.0252200198154342), np.float64(1.020719021592781), np.float64(1.020284021518378), np.float64(1.0084239422650523), np.float64(1.0067042266108643), np.float64(0.9138726229755643), np.float64(0.9045796239737124))","('DyS', 'MS', 'SORD', 'SMM', 'HDy', 'ACC', 'X', 'MAX', 'PACC', 'CC', 'PCC')","[0.09280207 0.09248899 0.0924713  0.0924628  0.09224931 0.09204826
 0.09204826 0.09191151 0.08977491 0.08718156 0.08456101]","(np.float64(1.0215870085504766), np.float64(1.018140524292516), np.float64(1.0179458151045224), np.float64(1.0178521727209238), np.float64(1.0155020491024553), np.float64(1.0132888904598498), np.float64(1.0132888904598496), np.float64(1.0117834881113343), np.float64(0.988263315612334), np.float64(0.9597151186674683), np.float64(0.9308674623861494))"
30_page-blocks,"('SORD', 'CC', 'MS', 'ACC', 'MAX', 'DyS', 'SMM', 'X', 'HDy', 'PCC', 'PACC')","[0.09143766 0.09140011 0.0913937  0.0913881  0.09135232 0.09135182
 0.09123949 0.0912388  0.09046408 0.08947092 0.089263  ]","(np.float64(1.0058809937746347), np.float64(1.0054679947844851), np.float64(1.0053974081267811), np.float64(1.0053358513536403), np.float64(1.004942241856838), np.float64(1.0049367671763634), np.float64(1.0037009971517221), np.float64(1.0036934972845681), np.float64(0.9951709831852803), np.float64(0.9842455127625337), np.float64(0.9819581812456019))","('DyS', 'MAX', 'X', 'HDy', 'SORD', 'PACC', 'SMM', 'MS', 'ACC', 'CC', 'PCC')","[0.09459513 0.09424622 0.09424622 0.09223725 0.0916787  0.09157209
 0.09123414 0.09088889 0.09062226 0.08496382 0.08371527]","(np.float64(1.0419093630202911), np.float64(1.0380663627666376), np.float64(1.0380663627666376), np.float64(1.0159387780617337), np.float64(1.009786654299242), np.float64(1.008612452397648), np.float64(1.0048901171770852), np.float64(1.0010873053988119), np.float64(0.9981505877837096), np.float64(0.9358262251667725), np.float64(0.9220742257547677))"
312_scene,"('MS', 'MAX', 'X', 'PCC', 'SORD', 'DyS', 'CC', 'SMM', 'ACC', 'HDy', 'PACC')","[0.09508584 0.09331091 0.09331091 0.09264777 0.09248127 0.09203642
 0.09119468 0.09089931 0.09088371 0.08919579 0.07895338]","(np.float64(1.0480379169453875), np.float64(1.0284746182265754), np.float64(1.0284746182265754), np.float64(1.0211654882217105), np.float64(1.0193302607412567), np.float64(1.0144271074051745), np.float64(1.005149420623538), np.float64(1.0018938538722932), np.float64(1.0017219565802713), np.float64(0.9831176865482849), np.float64(0.8702256018194298))","('DyS', 'ACC', 'SORD', 'MS', 'MAX', 'SMM', 'HDy', 'X', 'CC', 'PACC', 'PCC')","[0.09203323 0.09193059 0.09188246 0.09185678 0.0918483  0.09184068
 0.09180991 0.09151222 0.08991997 0.08903166 0.0863342 ]","(np.float64(1.0127048820119133), np.float64(1.011575523944586), np.float64(1.0110459476393736), np.float64(1.010763355878929), np.float64(1.010670039834046), np.float64(1.010586148399676), np.float64(1.010247567012302), np.float64(1.0069719286392103), np.float64(0.9894513071323919), np.float64(0.979676576848122), np.float64(0.9499945382689828))"
375_JapaneseVowels,"('DyS', 'SORD', 'SMM', 'MAX', 'X', 'MS', 'HDy', 'ACC', 'PCC', 'CC', 'PACC')","[0.09835152 0.0977563  0.09736434 0.09734619 0.09734619 0.09549534
 0.09300645 0.09190641 0.08269206 0.07604978 0.07268543]","(np.float64(1.0924548235262033), np.float64(1.0858433385065522), np.float64(1.0814895270524791), np.float64(1.081287952896364), np.float64(1.081287952896364), np.float64(1.0607293247414866), np.float64(1.0330835924996637), np.float64(1.0208647259870107), np.float64(0.9185148697699905), np.float64(0.8447347788811186), np.float64(0.8073646823059436))","('DyS', 'SORD', 'MS', 'MAX', 'PACC', 'SMM', 'X', 'ACC', 'HDy', 'CC', 'PCC')","[0.09206018 0.09185295 0.09180329 0.091803   0.09177374 0.09175526
 0.09173626 0.0916305  0.09030897 0.08806316 0.08721268]","(np.float64(1.0129587600107277), np.float64(1.0106786623919963), np.float64(1.0101322033933364), np.float64(1.010129054944501), np.float64(1.0098070950179914), np.float64(1.0096036533133204), np.float64(1.009394597439131), np.float64(1.0082309747601708), np.float64(0.9936898638142274), np.float64(0.9689787496734782), np.float64(0.9596206851657746))"
40474_thyroid-allbp,"('DyS', 'SORD', 'MS', 'SMM', 'HDy', 'MAX', 'X', 'ACC', 'PACC', 'CC', 'PCC')","[0.09377043 0.09364832 0.09364764 0.09351874 0.09337038 0.09272589
 0.09196162 0.09193483 0.08784304 0.08500587 0.08257323]","(np.float64(1.0331568573659784), np.float64(1.0318114017076978), np.float64(1.0318039908916588), np.float64(1.030383707403054), np.float64(1.028749140703979), np.float64(1.0216482109711593), np.float64(1.0132275314764636), np.float64(1.0129323597442217), np.float64(0.9678492372976584), np.float64(0.9365894695640107), np.float64(0.9097867902290702))","('DyS', 'SORD', 'MS', 'SMM', 'HDy', 'MAX', 'X', 'ACC', 'PACC', 'CC', 'PCC')","[0.09377043 0.09364832 0.09364764 0.09351874 0.09337038 0.09272589
 0.09196162 0.09193483 0.08784304 0.08500587 0.08257323]","(np.float64(1.0331568573659784), np.float64(1.0318114017076978), np.float64(1.0318039908916588), np.float64(1.030383707403054), np.float64(1.028749140703979), np.float64(1.0216482109711593), np.float64(1.0132275314764636), np.float64(1.0129323597442217), np.float64(0.9678492372976584), np.float64(0.9365894695640107), np.float64(0.9097867902290702))"
40475_thyroid-allhyper,"('DyS', 'SORD', 'MS', 'SMM', 'HDy', 'MAX', 'X', 'ACC', 'PACC', 'CC', 'PCC')","[0.09377043 0.09364832 0.09364764 0.09351874 0.09337038 0.09272589
 0.09196162 0.09193483 0.08784304 0.08500587 0.08257323]","(np.float64(1.0331568573659784), np.float64(1.0318114017076978), np.float64(1.0318039908916588), np.float64(1.030383707403054), np.float64(1.028749140703979), np.float64(1.0216482109711593), np.float64(1.0132275314764636), np.float64(1.0129323597442217), np.float64(0.9678492372976584), np.float64(0.9365894695640107), np.float64(0.9097867902290702))","('DyS', 'SORD', 'MS', 'SMM', 'HDy', 'MAX', 'X', 'ACC', 'PACC', 'CC', 'PCC')","[0.09377043 0.09364832 0.09364764 0.09351874 0.09337038 0.09272589
 0.09196162 0.09193483 0.08784304 0.08500587 0.08257323]","(np.float64(1.0331568573659784), np.float64(1.0318114017076978), np.float64(1.0318039908916588), np.float64(1.030383707403054), np.float64(1.028749140703979), np.float64(1.0216482109711593), np.float64(1.0132275314764636), np.float64(1.0129323597442217), np.float64(0.9678492372976584), np.float64(0.9365894695640107), np.float64(0.9097867902290702))"
40733_yeast,"('DyS', 'SORD', 'MS', 'SMM', 'HDy', 'MAX', 'X', 'ACC', 'PACC', 'CC', 'PCC')","[0.09377043 0.09364832 0.09364764 0.09351874 0.09337038 0.09272589
 0.09196162 0.09193483 0.08784304 0.08500587 0.08257323]","(np.float64(1.0331568573659784), np.float64(1.0318114017076978), np.float64(1.0318039908916588), np.float64(1.030383707403054), np.float64(1.028749140703979), np.float64(1.0216482109711593), np.float64(1.0132275314764636), np.float64(1.0129323597442217), np.float64(0.9678492372976584), np.float64(0.9365894695640107), np.float64(0.9097867902290702))","('SORD', 'X', 'DyS', 'MAX', 'SMM', 'HDy', 'MS', 'PCC', 'CC', 'ACC', 'PACC')","[0.100651   0.10037323 0.09994447 0.09967756 0.09861968 0.09812423
 0.08738851 0.08538525 0.07956389 0.07767935 0.07259283]","(np.float64(1.1207035992628702), np.float64(1.117610751657586), np.float64(1.1128366262709106), np.float64(1.109864760704757), np.float64(1.098085725187309), np.float64(1.092569082044593), np.float64(0.9730317532471935), np.float64(0.9507263440426212), np.float64(0.8859080530500643), np.float64(0.8649245645934714), np.float64(0.8082884487905933))"
