,predicted_ranking,predicted_ranking_weights,predicted_ranking_arr,true_ranking,true_ranking_weights,true_ranking_arr
44_spambase,"('DyS', 'SORD', 'MS', 'SMM', 'HDy', 'MAX', 'ACC', 'X', 'PACC', 'CC', 'PCC')","[0.09287901 0.09285438 0.09282711 0.09281845 0.09235807 0.09198096
 0.09190971 0.09164111 0.08908263 0.08737957 0.084269  ]","(np.float64(1.0225169258664129), np.float64(1.0222457703035068), np.float64(1.0219455598734146), np.float64(1.0218502297522956), np.float64(1.0167818372469588), np.float64(1.0126302040929054), np.float64(1.0118457748732494), np.float64(1.0088887143155278), np.float64(0.980722102553995), np.float64(0.9619729387649768), np.float64(0.927728263364949))","('DyS', 'SMM', 'SORD', 'MS', 'X', 'ACC', 'MAX', 'HDy', 'PACC', 'CC', 'PCC')","[0.09204959 0.09199359 0.0919899  0.09195756 0.09178835 0.0917387
 0.09167352 0.09145492 0.08978585 0.08912182 0.0864462 ]","(np.float64(1.0128735664740927), np.float64(1.0122573740205003), np.float64(1.0122167537471514), np.float64(1.0118608138459577), np.float64(1.0099989311167403), np.float64(1.0094525819096065), np.float64(1.0087354378833422), np.float64(1.0063299771889027), np.float64(0.9879643664476326), np.float64(0.9806575669181706), np.float64(0.9512162506112251))"
4538_GesturePhaseSegmentationProcessed,"('DyS', 'SORD', 'SMM', 'HDy', 'MAX', 'X', 'MS', 'ACC', 'PCC', 'CC', 'PACC')","[0.09945988 0.09880098 0.09849742 0.09774875 0.0976271  0.0976271
 0.09338995 0.08921946 0.08160867 0.07454147 0.07147921]","(np.float64(1.1072192681052864), np.float64(1.09988423207303), np.float64(1.0965048294471413), np.float64(1.088170387726167), np.float64(1.0868161443756807), np.float64(1.0868161443756807), np.float64(1.039646837735562), np.float64(0.9932196796402335), np.float64(0.9084939183849539), np.float64(0.8298195776199847), np.float64(0.7957295090818977))","('DyS', 'SORD', 'SMM', 'MAX', 'X', 'MS', 'HDy', 'ACC', 'PCC', 'CC', 'PACC')","[0.0976791  0.09722218 0.09689423 0.09652271 0.09648605 0.09504421
 0.09308619 0.09134823 0.08447718 0.07910258 0.07213733]","(np.float64(1.0834116424893345), np.float64(1.0783435944535589), np.float64(1.0747062155521765), np.float64(1.0705854123140488), np.float64(1.0701788129287426), np.float64(1.0541866085301157), np.float64(1.0324691930558763), np.float64(1.0131925377119615), np.float64(0.9369819983801413), np.float64(0.8773693663126976), np.float64(0.8001140929879931))"
60_waveform-5000,"('DyS', 'MAX', 'SMM', 'SORD', 'MS', 'X', 'ACC', 'HDy', 'PACC', 'CC', 'PCC')","[0.09170885 0.09161687 0.09157696 0.09153287 0.09151198 0.09144043
 0.09118491 0.09110563 0.09088495 0.08915513 0.08828142]","(np.float64(1.008927926390413), np.float64(1.0079159837717713), np.float64(1.0074768852688318), np.float64(1.0069918484714278), np.float64(1.0067620556894599), np.float64(1.0059748910254926), np.float64(1.003163863637496), np.float64(1.0022916664137664), np.float64(0.9998638258627919), np.float64(0.9808333161068056), np.float64(0.9712212992637989))","('DyS', 'MAX', 'SORD', 'MS', 'SMM', 'X', 'HDy', 'ACC', 'PACC', 'CC', 'PCC')","[0.09305293 0.09262978 0.09259255 0.09231947 0.09216403 0.09207611
 0.09127773 0.09126915 0.08995569 0.0883347  0.08432785]","(np.float64(1.024292808748469), np.float64(1.0196349382217351), np.float64(1.0192251177767453), np.float64(1.0162191618852803), np.float64(1.0145081400302405), np.float64(1.0135403559717857), np.float64(1.0047519919017505), np.float64(1.0046575426966373), np.float64(0.990199519691604), np.float64(0.9723562031010268), np.float64(0.9282502537398883))"
679_rmftsa_sleepdata,"('DyS', 'SORD', 'MS', 'SMM', 'HDy', 'MAX', 'ACC', 'X', 'PACC', 'CC', 'PCC')","[0.09387466 0.09347554 0.09322739 0.09321396 0.09290074 0.0926759
 0.09248287 0.09148001 0.08724873 0.08667052 0.08274968]","(np.float64(1.0340702606061534), np.float64(1.029673738726311), np.float64(1.0269403447127299), np.float64(1.0267923204178246), np.float64(1.0233420848556611), np.float64(1.0208654515935285), np.float64(1.0187391077262586), np.float64(1.0076921901994889), np.float64(0.9610827973480676), np.float64(0.9547135388108907), np.float64(0.9115237169755946))","('MAX', 'DyS', 'HDy', 'SORD', 'MS', 'SMM', 'X', 'PCC', 'CC', 'ACC', 'PACC')","[0.09970074 0.09962147 0.0993802  0.09828712 0.09694198 0.09275874
 0.08854179 0.08639536 0.08247103 0.08244816 0.07345341]","(np.float64(1.106018493138154), np.float64(1.1051391691705066), np.float64(1.102462589787426), np.float64(1.0903366538530606), np.float64(1.0754145637767016), np.float64(1.0290082675057761), np.float64(0.9822279616817214), np.float64(0.9584167736628839), np.float64(0.9148827687705288), np.float64(0.9146289714104521), np.float64(0.8148468579816083))"
AedesQuinx,"('DyS', 'SORD', 'SMM', 'HDy', 'MAX', 'X', 'MS', 'ACC', 'PCC', 'CC', 'PACC')","[0.09945988 0.09880098 0.09849742 0.09774875 0.0976271  0.0976271
 0.09338995 0.08921946 0.08160867 0.07454147 0.07147921]","(np.float64(1.1072192681052864), np.float64(1.09988423207303), np.float64(1.0965048294471413), np.float64(1.088170387726167), np.float64(1.0868161443756807), np.float64(1.0868161443756807), np.float64(1.039646837735562), np.float64(0.9932196796402335), np.float64(0.9084939183849539), np.float64(0.8298195776199847), np.float64(0.7957295090818977))","('DyS', 'SORD', 'MS', 'SMM', 'ACC', 'MAX', 'X', 'HDy', 'PACC', 'CC', 'PCC')","[0.09290061 0.0927537  0.09269357 0.09262021 0.09230665 0.09230665
 0.09230298 0.09168998 0.08878102 0.08768889 0.08395573]","(np.float64(1.0227950719124652), np.float64(1.0211776798378032), np.float64(1.0205156264390727), np.float64(1.0197079710820316), np.float64(1.01625585091117), np.float64(1.01625585091117), np.float64(1.0162154538594708), np.float64(1.0094664876811037), np.float64(0.977440108539809), np.float64(0.965416251714965), np.float64(0.924315840063267))"
AedesSex,"('HDy', 'DyS', 'SMM', 'SORD', 'MS', 'ACC', 'MAX', 'X', 'PACC', 'CC', 'PCC')","[0.09274662 0.0926667  0.09240187 0.09234173 0.09231447 0.0920415
 0.09192776 0.09185376 0.08985977 0.08734937 0.08449645]","(np.float64(1.0209667054369829), np.float64(1.0200870255052243), np.float64(1.0171717405130698), np.float64(1.0165096554241648), np.float64(1.0162096195794799), np.float64(1.0132047384162541), np.float64(1.011952583799195), np.float64(1.011138001991473), np.float64(0.9891879373960029), np.float64(0.9615531430242722), np.float64(0.9301477832036392))","('SORD', 'DyS', 'MS', 'SMM', 'ACC', 'X', 'MAX', 'HDy', 'CC', 'PACC', 'PCC')","[0.09128126 0.09126564 0.0912316  0.09116254 0.09113541 0.0910037
 0.0910037  0.09096377 0.09085671 0.09045247 0.08964321]","(np.float64(1.0041173065827889), np.float64(1.0039455412995286), np.float64(1.003571043796288), np.float64(1.0028113639976657), np.float64(1.002513004003348), np.float64(1.0010641104987392), np.float64(1.001064110498739), np.float64(1.0006249242748138), np.float64(0.999447199195379), np.float64(0.9950004128862924), np.float64(0.9860983415086082))"
ArabicDigit,"('HDy', 'DyS', 'SORD', 'MS', 'SMM', 'MAX', 'X', 'ACC', 'PACC', 'CC', 'PCC')","[0.09127086 0.09124298 0.09116645 0.0911528  0.09114241 0.09091455
 0.09091455 0.0908998  0.09081283 0.09046781 0.09001497]","(np.float64(1.00399379362544), np.float64(1.003687204977783), np.float64(1.0028452649561264), np.float64(1.0026951899799037), np.float64(1.0025809059199848), np.float64(1.0000743630193494), np.float64(1.0000743630193494), np.float64(0.9999120889953765), np.float64(0.998955408978561), np.float64(0.995160120641898), np.float64(0.9901789058259075))","('DyS', 'HDy', 'SORD', 'MS', 'SMM', 'X', 'MAX', 'PACC', 'ACC', 'CC', 'PCC')","[0.09114853 0.09114827 0.09107866 0.09102816 0.09101082 0.09095627
 0.09088144 0.09079539 0.09076823 0.09075402 0.0904302 ]","(np.float64(1.0026384205170624), np.float64(1.0026355964881242), np.float64(1.0018698352424127), np.float64(1.001314394800226), np.float64(1.0011236091752713), np.float64(1.0005235557336873), np.float64(0.9997004594878804), np.float64(0.9987538882636409), np.float64(0.9984550849188428), np.float64(0.9982987923939068), np.float64(0.9947367209693558))"
BNG,"('SORD', 'DyS', 'MS', 'SMM', 'X', 'MAX', 'HDy', 'ACC', 'PACC', 'CC', 'PCC')","[0.09122967 0.09121261 0.09115511 0.09114827 0.09113139 0.09107165
 0.09098011 0.09096421 0.09081957 0.09041674 0.08987067]","(np.float64(1.0035438140359865), np.float64(1.0033561132799276), np.float64(1.0027236237386057), np.float64(1.0026484310005237), np.float64(1.002462717349913), np.float64(1.0018055921539346), np.float64(1.0007985638493586), np.float64(1.000623648474851), np.float64(0.9990325948506186), np.float64(0.9946014498920658), np.float64(0.988594496916624))","('SORD', 'DyS', 'MS', 'SMM', 'X', 'MAX', 'HDy', 'ACC', 'PACC', 'CC', 'PCC')","[0.09122967 0.09121261 0.09115511 0.09114827 0.09113139 0.09107165
 0.09098011 0.09096421 0.09081957 0.09041674 0.08987067]","(np.float64(1.0035438140359865), np.float64(1.0033561132799276), np.float64(1.0027236237386057), np.float64(1.0026484310005237), np.float64(1.002462717349913), np.float64(1.0018055921539346), np.float64(1.0007985638493586), np.float64(1.000623648474851), np.float64(0.9990325948506186), np.float64(0.9946014498920658), np.float64(0.988594496916624))"
BNG_breast-w,"('SORD', 'DyS', 'MS', 'SMM', 'X', 'MAX', 'HDy', 'ACC', 'PACC', 'CC', 'PCC')","[0.09122967 0.09121261 0.09115511 0.09114827 0.09113139 0.09107165
 0.09098011 0.09096421 0.09081957 0.09041674 0.08987067]","(np.float64(1.0035438140359865), np.float64(1.0033561132799276), np.float64(1.0027236237386057), np.float64(1.0026484310005237), np.float64(1.002462717349913), np.float64(1.0018055921539346), np.float64(1.0007985638493586), np.float64(1.000623648474851), np.float64(0.9990325948506186), np.float64(0.9946014498920658), np.float64(0.988594496916624))","('SORD', 'DyS', 'MS', 'SMM', 'X', 'MAX', 'HDy', 'ACC', 'PACC', 'CC', 'PCC')","[0.09122967 0.09121261 0.09115511 0.09114827 0.09113139 0.09107165
 0.09098011 0.09096421 0.09081957 0.09041674 0.08987067]","(np.float64(1.0035438140359865), np.float64(1.0033561132799276), np.float64(1.0027236237386057), np.float64(1.0026484310005237), np.float64(1.002462717349913), np.float64(1.0018055921539346), np.float64(1.0007985638493586), np.float64(1.000623648474851), np.float64(0.9990325948506186), np.float64(0.9946014498920658), np.float64(0.988594496916624))"
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,"('PCC', 'HDy', 'CC', 'SMM', 'SORD', 'MS', 'DyS', 'ACC', 'MAX', 'X', 'PACC')","[0.09713017 0.09606686 0.09576913 0.09548165 0.09320283 0.09284261
 0.09165198 0.08605522 0.084877   0.08400592 0.08291662]","(np.float64(1.0716144790753805), np.float64(1.0598831682666332), np.float64(1.0565984490590568), np.float64(1.0534267019389503), np.float64(1.0282850474325944), np.float64(1.0243107961131301), np.float64(1.0111748715150757), np.float64(0.9494271480680275), np.float64(0.9364281195728698), np.float64(0.926817670544823), np.float64(0.9147996578924648))","('PCC', 'HDy', 'CC', 'SMM', 'SORD', 'MS', 'DyS', 'ACC', 'MAX', 'X', 'PACC')","[0.09713017 0.09606686 0.09576913 0.09548165 0.09320283 0.09284261
 0.09165198 0.08605522 0.084877   0.08400592 0.08291662]","(np.float64(1.0716144790753805), np.float64(1.0598831682666332), np.float64(1.0565984490590568), np.float64(1.0534267019389503), np.float64(1.0282850474325944), np.float64(1.0243107961131301), np.float64(1.0111748715150757), np.float64(0.9494271480680275), np.float64(0.9364281195728698), np.float64(0.926817670544823), np.float64(0.9147996578924648))"
GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1,"('PCC', 'HDy', 'CC', 'SMM', 'SORD', 'MS', 'DyS', 'ACC', 'MAX', 'X', 'PACC')","[0.09713017 0.09606686 0.09576913 0.09548165 0.09320283 0.09284261
 0.09165198 0.08605522 0.084877   0.08400592 0.08291662]","(np.float64(1.0716144790753805), np.float64(1.0598831682666332), np.float64(1.0565984490590568), np.float64(1.0534267019389503), np.float64(1.0282850474325944), np.float64(1.0243107961131301), np.float64(1.0111748715150757), np.float64(0.9494271480680275), np.float64(0.9364281195728698), np.float64(0.926817670544823), np.float64(0.9147996578924648))","('CC', 'PCC', 'DyS', 'HDy', 'MS', 'MAX', 'SMM', 'SORD', 'X', 'ACC', 'PACC')","[0.09676292 0.09646961 0.09393442 0.09256972 0.09232147 0.092134
 0.09197743 0.09013187 0.08735989 0.08396587 0.0823728 ]","(np.float64(1.0667665041853258), np.float64(1.0635328502571457), np.float64(1.0355835714583606), np.float64(1.020538421673222), np.float64(1.0178015561100107), np.float64(1.015734840331201), np.float64(1.0140086776364803), np.float64(0.9936622457158283), np.float64(0.9631024582213206), np.float64(0.9256848796699486), np.float64(0.9081220716535805))"
HTRU,"('DyS', 'MAX', 'X', 'HDy', 'SORD', 'PACC', 'SMM', 'MS', 'ACC', 'CC', 'PCC')","[0.09459513 0.09424622 0.09424622 0.09223725 0.0916787  0.09157209
 0.09123414 0.09088889 0.09062226 0.08496382 0.08371527]","(np.float64(1.0419093630202911), np.float64(1.0380663627666376), np.float64(1.0380663627666376), np.float64(1.0159387780617337), np.float64(1.009786654299242), np.float64(1.008612452397648), np.float64(1.0048901171770852), np.float64(1.0010873053988119), np.float64(0.9981505877837096), np.float64(0.9358262251667725), np.float64(0.9220742257547677))","('MAX', 'DyS', 'SMM', 'SORD', 'MS', 'X', 'PACC', 'ACC', 'HDy', 'PCC', 'CC')","[0.09242825 0.09234593 0.09220723 0.09213776 0.09211319 0.09211269
 0.09209468 0.09185125 0.09090063 0.08596958 0.08583882]","(np.float64(1.01737519249138), np.float64(1.0164690175983973), np.float64(1.0149423413413825), np.float64(1.0141777472177709), np.float64(1.013907293394198), np.float64(1.0139017408728557), np.float64(1.0137035209758525), np.float64(1.0110239946607211), np.float64(1.0005603392318556), np.float64(0.9462833519309128), np.float64(0.9448441008896673))"
MagicTelescope,"('DyS', 'SORD', 'MS', 'SMM', 'ACC', 'MAX', 'X', 'HDy', 'PACC', 'CC', 'PCC')","[0.09405516 0.09387857 0.09385452 0.09379526 0.09311191 0.09308001
 0.09308001 0.09114731 0.08769269 0.08335371 0.08295085]","(np.float64(1.0365727660745132), np.float64(1.0346266301667633), np.float64(1.0343616011655457), np.float64(1.033708433456385), np.float64(1.02617735379453), np.float64(1.025825825753129), np.float64(1.025825825753129), np.float64(1.0045256683488208), np.float64(0.9664526220005432), np.float64(0.9186331239877324), np.float64(0.9141932496938996))","('DyS', 'SORD', 'MS', 'SMM', 'ACC', 'MAX', 'X', 'HDy', 'PACC', 'CC', 'PCC')","[0.09405516 0.09387857 0.09385452 0.09379526 0.09311191 0.09308001
 0.09308001 0.09114731 0.08769269 0.08335371 0.08295085]","(np.float64(1.0365727660745132), np.float64(1.0346266301667633), np.float64(1.0343616011655457), np.float64(1.033708433456385), np.float64(1.02617735379453), np.float64(1.025825825753129), np.float64(1.025825825753129), np.float64(1.0045256683488208), np.float64(0.9664526220005432), np.float64(0.9186331239877324), np.float64(0.9141932496938996))"
abalone,"('PCC', 'HDy', 'DyS', 'ACC', 'SORD', 'SMM', 'MS', 'X', 'CC', 'MAX', 'PACC')","[0.09857597 0.09474236 0.0941108  0.09164526 0.09035354 0.09031558
 0.09022759 0.09007685 0.08837647 0.08722212 0.08435346]","(np.float64(1.0859380630589264), np.float64(1.0437060225433068), np.float64(1.0367486128849015), np.float64(1.0095876194106168), np.float64(0.9953576003561049), np.float64(0.9949395298574816), np.float64(0.9939701241293447), np.float64(0.9923095457725217), np.float64(0.9735777073319569), np.float64(0.9608611320207056), np.float64(0.9292592253935481))","('DyS', 'SMM', 'MS', 'SORD', 'HDy', 'ACC', 'X', 'MAX', 'PACC', 'CC', 'PCC')","[0.09318565 0.09288902 0.09283393 0.09283105 0.09232812 0.09204834
 0.09202944 0.09201978 0.08975108 0.08652936 0.08355422]","(np.float64(1.0260849281581335), np.float64(1.0228186160353543), np.float64(1.0222120164649553), np.float64(1.0221803624045704), np.float64(1.0166424038855106), np.float64(1.0135618022074744), np.float64(1.0133536779293535), np.float64(1.0132472779719484), np.float64(0.9882661284669796), np.float64(0.9527912605153194), np.float64(0.9200313769862495))"
ailerons,"('DyS', 'MS', 'SMM', 'SORD', 'ACC', 'MAX', 'X', 'HDy', 'CC', 'PACC', 'PCC')","[0.09412103 0.09396221 0.0939533  0.09380184 0.09328634 0.0930874
 0.09305515 0.09293347 0.08473592 0.08355802 0.08350532]","(np.float64(1.0375374001206081), np.float64(1.035786670483752), np.float64(1.0356884356805365), np.float64(1.03401889296928), np.float64(1.0283362690925546), np.float64(1.0261432523836136), np.float64(1.0257877789944874), np.float64(1.0244464558146373), np.float64(0.9340812354418118), np.float64(0.9210967386104363), np.float64(0.9205157699271824))","('DyS', 'MS', 'SORD', 'SMM', 'HDy', 'ACC', 'MAX', 'X', 'PACC', 'CC', 'PCC')","[0.09235714 0.09203323 0.09202377 0.09201482 0.09186926 0.09159808
 0.0914482  0.0911882  0.09092186 0.08827667 0.08626878]","(np.float64(1.0163065110890168), np.float64(1.012742235895755), np.float64(1.0126381182000357), np.float64(1.0125396056098874), np.float64(1.0109378037057426), np.float64(1.0079537255729687), np.float64(1.0063045147707894), np.float64(1.0034434057908366), np.float64(1.0005125189660269), np.float64(0.9714046223501098), np.float64(0.9493096050441281))"
anuranCalls,"('SORD', 'MS', 'DyS', 'SMM', 'HDy', 'X', 'ACC', 'MAX', 'PACC', 'CC', 'PCC')","[0.09253241 0.09251449 0.09249112 0.09248306 0.09233711 0.09176843
 0.09171537 0.091591   0.09010681 0.08742471 0.08503549]","(np.float64(1.0185055495132629), np.float64(1.0183082926127713), np.float64(1.0180511583591678), np.float64(1.017962430956422), np.float64(1.0163559565578402), np.float64(1.0100964896261844), np.float64(1.0095123938881334), np.float64(1.008143533140078), np.float64(0.991806959873386), np.float64(0.9622850120010608), np.float64(0.935986876216193))","('DyS', 'MAX', 'SMM', 'SORD', 'MS', 'X', 'ACC', 'HDy', 'PACC', 'CC', 'PCC')","[0.09170885 0.09161687 0.09157696 0.09153287 0.09151198 0.09144043
 0.09118491 0.09110563 0.09088495 0.08915513 0.08828142]","(np.float64(1.008927926390413), np.float64(1.0079159837717713), np.float64(1.0074768852688318), np.float64(1.0069918484714278), np.float64(1.0067620556894599), np.float64(1.0059748910254926), np.float64(1.003163863637496), np.float64(1.0022916664137664), np.float64(0.9998638258627919), np.float64(0.9808333161068056), np.float64(0.9712212992637989))"
balloon,"('DyS', 'X', 'MAX', 'SORD', 'MS', 'ACC', 'SMM', 'HDy', 'CC', 'PCC', 'PACC')","[0.0915267  0.09143178 0.09132985 0.09126179 0.0912246  0.09104701
 0.09103759 0.09103303 0.09067852 0.09002547 0.08940366]","(np.float64(1.0068363664105981), np.float64(1.0057922833923265), np.float64(1.0046709409032697), np.float64(1.003922321352615), np.float64(1.0035131679791207), np.float64(1.001559610256622), np.float64(1.0014559647500887), np.float64(1.0014058541103465), np.float64(0.9975060715222979), np.float64(0.9903221489625265), np.float64(0.983482024366328))","('SMM', 'SORD', 'MS', 'PACC', 'DyS', 'ACC', 'MAX', 'X', 'HDy', 'PCC', 'CC')","[0.09287675 0.09279746 0.09279451 0.09258061 0.09257544 0.09232309
 0.09173616 0.09117608 0.09048745 0.08561768 0.08503478]","(np.float64(1.0225167248981282), np.float64(1.0216437907337668), np.float64(1.0216113881403068), np.float64(1.019256415583165), np.float64(1.0191995439615351), np.float64(1.0164212693161772), np.float64(1.0099595157818029), np.float64(1.0037934589586954), np.float64(0.9962119953205765), np.float64(0.9425987529079254), np.float64(0.9361814377098527))"
bank8FM,"('ACC', 'X', 'MAX', 'SORD', 'DyS', 'SMM', 'MS', 'HDy', 'CC', 'PACC', 'PCC')","[0.09319943 0.09319943 0.09298173 0.09298073 0.092923   0.09243662
 0.09231513 0.09213113 0.0875934  0.08684814 0.08339126]","(np.float64(1.0264041621290965), np.float64(1.0264041621290965), np.float64(1.024006652105743), np.float64(1.0239956023771373), np.float64(1.023359777631946), np.float64(1.0180033389266234), np.float64(1.0166653161088441), np.float64(1.0146390120049855), np.float64(0.9646650059594617), np.float64(0.9564574561897311), np.float64(0.9183868561716311))","('DyS', 'SORD', 'SMM', 'MS', 'HDy', 'MAX', 'ACC', 'X', 'PACC', 'CC', 'PCC')","[0.09166354 0.0915198  0.09151079 0.09150945 0.09150271 0.0912201
 0.09121876 0.09121271 0.09098212 0.08924105 0.08841898]","(np.float64(1.0084147247630562), np.float64(1.006833344193285), np.float64(1.0067343136007514), np.float64(1.0067194761277158), np.float64(1.0066453336565564), np.float64(1.003536366774396), np.float64(1.0035215236896082), np.float64(1.0034550468720667), np.float64(1.0009182598644066), np.float64(0.9817642213612098), np.float64(0.9727204280056411))"
churn,"('SMM', 'MS', 'SORD', 'ACC', 'MAX', 'X', 'DyS', 'PACC', 'HDy', 'CC', 'PCC')","[0.09180096 0.0917885  0.09175866 0.09164271 0.09160772 0.09160772
 0.09146924 0.09100748 0.090092   0.08907652 0.08814848]","(np.float64(1.0099724168787214), np.float64(1.009835364584153), np.float64(1.0095070163286284), np.float64(1.0082313917226924), np.float64(1.0078464357652157), np.float64(1.0078464357652157), np.float64(1.006322958033949), np.float64(1.0012427635276884), np.float64(0.991170848967301), np.float64(0.979998765039068), np.float64(0.9697886863574098))","('DyS', 'MAX', 'X', 'HDy', 'SORD', 'SMM', 'MS', 'ACC', 'PCC', 'CC', 'PACC')","[0.10009953 0.0994618  0.09922267 0.09746985 0.09597745 0.09398947
 0.09128868 0.08846085 0.0820485  0.07825699 0.07372422]","(np.float64(1.1111860815690147), np.float64(1.1041067584711532), np.float64(1.1014523022986136), np.float64(1.081994568527123), np.float64(1.0654276685392416), np.float64(1.043359487223166), np.float64(1.0133785761520702), np.float64(0.9819873479698551), np.float64(0.9108049800637795), np.float64(0.8687161564031592), np.float64(0.8183987398234406))"
clean2,"('ACC', 'CC', 'MS', 'SORD', 'HDy', 'MAX', 'X', 'SMM', 'DyS', 'PACC', 'PCC')","[0.0910348  0.0910348  0.0910348  0.0910348  0.09099019 0.09094558
 0.09094558 0.09093326 0.09088899 0.0905786  0.0905786 ]","(np.float64(1.0013857240022652), np.float64(1.0013857240022652), np.float64(1.0013857240022652), np.float64(1.0013857240022652), np.float64(1.0008950070998648), np.float64(1.0004042901974641), np.float64(1.0004042901974641), np.float64(1.0002687371494825), np.float64(0.9997818640832588), np.float64(0.9963675463111372), np.float64(0.9963675463111372))","('ACC', 'CC', 'MS', 'SORD', 'SMM', 'MAX', 'X', 'DyS', 'HDy', 'PACC', 'PCC')","[0.09100827 0.09100827 0.09100827 0.09100827 0.09095292 0.09091907
 0.09091907 0.09090916 0.09088467 0.09069102 0.09069102]","(np.float64(1.001092314643794), np.float64(1.001092314643794), np.float64(1.001092314643794), np.float64(1.001092314643794), np.float64(1.0004835427248735), np.float64(1.0001111422931381), np.float64(1.0001111422931381), np.float64(1.0000020956157576), np.float64(0.9997327794465187), np.float64(0.9976025732218394), np.float64(0.9976025732218394))"
click-prediction,"('DyS', 'SORD', 'SMM', 'MS', 'MAX', 'X', 'ACC', 'HDy', 'PACC', 'CC', 'PCC')","[0.09207551 0.0920004  0.09198438 0.09193374 0.09181577 0.09181577
 0.09141341 0.0913112  0.0907655  0.08793869 0.08694564]","(np.float64(1.0131569524246302), np.float64(1.0123305446845683), np.float64(1.0121541766949735), np.float64(1.0115969454882092), np.float64(1.0102989244927962), np.float64(1.0102989244927962), np.float64(1.0058714760731204), np.float64(1.0047468458898954), np.float64(0.9987422419919335), np.float64(0.9676372481826254), np.float64(0.9567102301971373))","('DyS', 'SORD', 'HDy', 'MAX', 'SMM', 'X', 'PCC', 'MS', 'ACC', 'CC', 'PACC')","[0.10040512 0.1003347  0.10006628 0.09992259 0.09980279 0.09947932
 0.08441326 0.08284907 0.08040341 0.07622595 0.0760975 ]","(np.float64(1.117789447196424), np.float64(1.1170055221399295), np.float64(1.114017265412469), np.float64(1.112417539853466), np.float64(1.1110838398951306), np.float64(1.107482662905221), np.float64(0.9397554199231071), np.float64(0.9223415950188298), np.float64(0.8951145075367932), np.float64(0.8486078031684656), np.float64(0.8471777556773666))"
cmc,"('MS', 'SMM', 'SORD', 'DyS', 'MAX', 'X', 'ACC', 'HDy', 'CC', 'PCC', 'PACC')","[0.09616078 0.09600749 0.09583928 0.09530611 0.09455607 0.09426333
 0.09393966 0.09000878 0.084221   0.08359226 0.07610525]","(np.float64(1.0629458695877712), np.float64(1.0612514970618474), np.float64(1.0593921325817943), np.float64(1.053498574176833), np.float64(1.0452076600255757), np.float64(1.0419717963989386), np.float64(1.0383939690242818), np.float64(0.9949426545865461), np.float64(0.9309654747726057), np.float64(0.9240154936462573), np.float64(0.8412553377772379))","('SMM', 'SORD', 'DyS', 'MS', 'MAX', 'ACC', 'X', 'HDy', 'CC', 'PCC', 'PACC')","[0.09608468 0.09581935 0.09578272 0.09573221 0.09465149 0.09448269
 0.09426345 0.08986314 0.08403072 0.08328854 0.07600102]","(np.float64(1.0622843823838914), np.float64(1.0593509790414746), np.float64(1.0589460693635817), np.float64(1.0583875644777203), np.float64(1.046439512651393), np.float64(1.044573216316158), np.float64(1.042149408555598), np.float64(0.9935008196410126), np.float64(0.9290193321933854), np.float64(0.920813975289351), np.float64(0.8402452323658662))"
covtype_reduced,"('DyS', 'SORD', 'MS', 'SMM', 'HDy', 'MAX', 'X', 'ACC', 'PACC', 'CC', 'PCC')","[0.09377043 0.09364832 0.09364764 0.09351874 0.09337038 0.09272589
 0.09196162 0.09193483 0.08784304 0.08500587 0.08257323]","(np.float64(1.0331568573659784), np.float64(1.0318114017076978), np.float64(1.0318039908916588), np.float64(1.030383707403054), np.float64(1.028749140703979), np.float64(1.0216482109711593), np.float64(1.0132275314764636), np.float64(1.0129323597442217), np.float64(0.9678492372976584), np.float64(0.9365894695640107), np.float64(0.9097867902290702))","('DyS', 'MS', 'SORD', 'SMM', 'X', 'HDy', 'MAX', 'ACC', 'PACC', 'CC', 'PCC')","[0.0933904  0.09338114 0.09337047 0.09334476 0.09240819 0.09229873
 0.09228472 0.09201655 0.08799149 0.08675492 0.08275864]","(np.float64(1.028629927223221), np.float64(1.0285279348886545), np.float64(1.0284103637726747), np.float64(1.0281271849856783), np.float64(1.017811591568322), np.float64(1.0166059221268875), np.float64(1.0164515888864747), np.float64(1.01349792554972), np.float64(0.9691646677126606), np.float64(0.9555447518249277), np.float64(0.9115285316888899))"
cpu_act,"('SORD', 'DyS', 'MS', 'SMM', 'ACC', 'X', 'MAX', 'HDy', 'CC', 'PACC', 'PCC')","[0.09128126 0.09126564 0.0912316  0.09116254 0.09113541 0.0910037
 0.0910037  0.09096377 0.09085671 0.09045247 0.08964321]","(np.float64(1.0041173065827889), np.float64(1.0039455412995286), np.float64(1.003571043796288), np.float64(1.0028113639976657), np.float64(1.002513004003348), np.float64(1.0010641104987392), np.float64(1.001064110498739), np.float64(1.0006249242748138), np.float64(0.999447199195379), np.float64(0.9950004128862924), np.float64(0.9860983415086082))","('DyS', 'SORD', 'SMM', 'MS', 'MAX', 'X', 'ACC', 'HDy', 'PACC', 'CC', 'PCC')","[0.09207551 0.0920004  0.09198438 0.09193374 0.09181577 0.09181577
 0.09141341 0.0913112  0.0907655  0.08793869 0.08694564]","(np.float64(1.0131569524246302), np.float64(1.0123305446845683), np.float64(1.0121541766949735), np.float64(1.0115969454882092), np.float64(1.0102989244927962), np.float64(1.0102989244927962), np.float64(1.0058714760731204), np.float64(1.0047468458898954), np.float64(0.9987422419919335), np.float64(0.9676372481826254), np.float64(0.9567102301971373))"
