dataset,predicted_ranking,predicted_ranking_weights,predicted_ranking_mae,true_ranking,true_ranking_weights,true_ranking_mae
1497_wall-robot-navigation,"['HDy', 'DyS', 'MS', 'SMM', 'SORD', 'MAX', 'X', 'ACC', 'PACC', 'CC', 'PCC']","[0.14106218 0.11581453 0.11479872 0.11377542 0.10540503 0.10285138
 0.09696657 0.09175506 0.04540819 0.0381415  0.03402143]","[np.float64(0.03605716666666667), np.float64(0.04391765406666668), np.float64(0.04430626344404761), np.float64(0.04470475737500003), np.float64(0.04825483333333334), np.float64(0.04945293387000001), np.float64(0.052454186850000015), np.float64(0.05543348042333334), np.float64(0.11201289435000004), np.float64(0.1333535), np.float64(0.14950287713333324)]","['DyS', 'MS', 'SMM', 'SORD', 'HDy', 'ACC', 'X', 'MAX', 'PACC', 'CC', 'PCC']","[0.12188007 0.11919391 0.1158498  0.11469499 0.10659207 0.10485273
 0.0983933  0.09644928 0.0481611  0.04022151 0.03371123]","[np.float64(0.0519929), np.float64(0.053164615), np.float64(0.05469926), np.float64(0.05525), np.float64(0.05945), np.float64(0.060436180000000006), np.float64(0.06440375999999999), np.float64(0.065701875), np.float64(0.1315771), np.float64(0.15755), np.float64(0.18797588)]"
1504_steel-plates-fault,"['HDy', 'DyS', 'MS', 'SMM', 'ACC', 'X', 'MAX', 'SORD', 'PCC', 'CC', 'PACC']","[0.13867369 0.13070975 0.11512373 0.10065963 0.09874608 0.09870389
 0.084149   0.08341213 0.06068362 0.04492372 0.04421477]","[np.float64(0.054870874999999965), np.float64(0.05821407042916669), np.float64(0.06609538146369046), np.float64(0.07559283304166667), np.float64(0.07705771066), np.float64(0.07709064258333327), np.float64(0.09042468479666665), np.float64(0.09122350000000001), np.float64(0.12539045616666672), np.float64(0.16937927500000008), np.float64(0.17209513468)]","['ACC', 'CC', 'MAX', 'MS', 'SORD', 'X', 'DyS', 'SMM', 'HDy', 'PACC', 'PCC']","[1.66579484e-01 1.66579484e-01 1.66579484e-01 1.66579484e-01
 1.66579484e-01 1.66579484e-01 1.55802617e-04 1.46868291e-04
 1.04112178e-04 5.81551056e-05 5.81551056e-05]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.00106917), np.float64(0.0011342099999999999), np.float64(0.0016), np.float64(0.0028643999999999996), np.float64(0.0028643999999999996)]"
1507_twonorm,"['HDy', 'SORD', 'X', 'SMM', 'ACC', 'PACC', 'MAX', 'MS', 'CC', 'PCC', 'DyS']","[0.13809666 0.13071899 0.11600144 0.1120874  0.08218698 0.07624779
 0.07601617 0.0750468  0.0693408  0.06274372 0.06151324]","[np.float64(0.04739837500000001), np.float64(0.05007349999999998), np.float64(0.05642651948333333), np.float64(0.058396906408333296), np.float64(0.07964226402500005), np.float64(0.08584586634583317), np.float64(0.08610743008333327), np.float64(0.08721967350333339), np.float64(0.0943969166666667), np.float64(0.10432210946666685), np.float64(0.10640891464166659)]","['HDy', 'DyS', 'SORD', 'MS', 'SMM', 'MAX', 'X', 'ACC', 'PACC', 'CC', 'PCC']","[0.12486595 0.1206118  0.1092577  0.10768556 0.10632275 0.08379814
 0.08379814 0.08266598 0.07658404 0.05902024 0.04538971]","[np.float64(0.00735), np.float64(0.007609245), np.float64(0.0084), np.float64(0.008522634999999999), np.float64(0.008631875), np.float64(0.010952090000000001), np.float64(0.010952090000000001), np.float64(0.011102085), np.float64(0.011983760000000001), np.float64(0.01555), np.float64(0.020219665)]"
1526_wall-robot-navigation,"['DyS', 'SMM', 'SORD', 'HDy', 'MAX', 'MS', 'X', 'ACC', 'CC', 'PACC', 'PCC']","[0.13562799 0.12326893 0.12204184 0.11722384 0.1088237  0.09618422
 0.09357571 0.08461579 0.04562167 0.03669602 0.03632029]","[np.float64(0.04136433786666667), np.float64(0.045511562649999976), np.float64(0.04596916666666665), np.float64(0.04785854166666665), np.float64(0.05155275996666665), np.float64(0.05832725723750003), np.float64(0.05995318771666662), np.float64(0.06630159374166665), np.float64(0.12297141666666668), np.float64(0.1528820142766667), np.float64(0.1544635706833333)]","['DyS', 'HDy', 'MAX', 'SORD', 'X', 'SMM', 'MS', 'ACC', 'PCC', 'CC', 'PACC']","[0.15067198 0.14997162 0.1197901  0.11952626 0.10909704 0.10634705
 0.09518733 0.05917978 0.03905322 0.03263051 0.01854511]","[np.float64(0.058029010000000006), np.float64(0.0583), np.float64(0.072988885), np.float64(0.07315), np.float64(0.08014283000000001), np.float64(0.08221522), np.float64(0.09185409), np.float64(0.14774210999999998), np.float64(0.223882835), np.float64(0.26795), np.float64(0.471463745)]"
1535_volcanoes-b5,"['SORD', 'MAX', 'DyS', 'X', 'SMM', 'HDy', 'MS', 'ACC', 'PCC', 'CC', 'PACC']","[0.15833905 0.15566913 0.15001413 0.14359864 0.12736322 0.07585457
 0.06591344 0.04297793 0.03005906 0.02514102 0.0250698 ]","[np.float64(0.05132403333333337), np.float64(0.052204303045833324), np.float64(0.05417222142500002), np.float64(0.05659244759166669), np.float64(0.06380647661000004), np.float64(0.10713393333333342), np.float64(0.12329197543333345), np.float64(0.18908772407499985), np.float64(0.2703543436999999), np.float64(0.32324062500000006), np.float64(0.3241589061500001)]","['X', 'MAX', 'PACC', 'DyS', 'SORD', 'SMM', 'MS', 'ACC', 'HDy', 'PCC', 'CC']","[0.18602225 0.17620246 0.12541973 0.09618921 0.09198699 0.08979135
 0.08018588 0.07505668 0.0374417  0.02158982 0.02011393]","[np.float64(0.037779385), np.float64(0.039884835), np.float64(0.056034295), np.float64(0.07306231), np.float64(0.07640000000000001), np.float64(0.07826819), np.float64(0.087643935), np.float64(0.09363331999999999), np.float64(0.1877), np.float64(0.32551484), np.float64(0.3494)]"
1538_volcanoes-d1,"['DyS', 'SORD', 'X', 'MAX', 'SMM', 'HDy', 'MS', 'ACC', 'PCC', 'PACC', 'CC']","[0.15105522 0.15103674 0.15066104 0.14201045 0.11349875 0.09834863
 0.06902862 0.04449021 0.02822076 0.02725328 0.02439629]","[np.float64(0.06393031172916673), np.float64(0.06393813333333341), np.float64(0.06409757395000003), np.float64(0.06800209056666666), np.float64(0.08508469870000006), np.float64(0.09819158333333336), np.float64(0.13989859200833352), np.float64(0.2170591626999998), np.float64(0.3421951681499998), np.float64(0.3543428821750002), np.float64(0.3958392249999999)]","['SORD', 'MAX', 'DyS', 'X', 'SMM', 'MS', 'HDy', 'ACC', 'PCC', 'CC', 'PACC']","[0.15627886 0.14844853 0.14250456 0.13590028 0.13276308 0.12403653
 0.05319375 0.04980438 0.02151236 0.01791961 0.01763806]","[np.float64(0.05235), np.float64(0.055111345), np.float64(0.05741008), np.float64(0.06020001), np.float64(0.061622539999999996), np.float64(0.065957975), np.float64(0.15380000000000002), np.float64(0.16426665), np.float64(0.38030221), np.float64(0.45655), np.float64(0.46383781999999996)]"
1539_volcanoes-d2,"['MAX', 'X', 'DyS', 'SORD', 'SMM', 'MS', 'HDy', 'ACC', 'PCC', 'PACC', 'CC']","[0.16337313 0.15744553 0.14922739 0.14338968 0.1314735  0.07053747
 0.06989238 0.04367616 0.02544013 0.02419734 0.0213473 ]","[np.float64(0.05478886875000002), np.float64(0.05685159333250001), np.float64(0.0599824831333334), np.float64(0.062424500000000036), np.float64(0.06808238404166671), np.float64(0.12689750885000003), np.float64(0.12806875000000006), np.float64(0.20494083549999978), np.float64(0.35184677625), np.float64(0.36991796419999984), np.float64(0.4193049999999999)]","['DyS', 'HDy', 'X', 'MAX', 'SORD', 'MS', 'SMM', 'ACC', 'PCC', 'CC', 'PACC']","[0.15744914 0.1346169  0.13299284 0.12113877 0.11953332 0.11394731
 0.09436087 0.05544819 0.02701053 0.02222008 0.02128204]","[np.float64(0.06301251), np.float64(0.0737), np.float64(0.0746), np.float64(0.0819), np.float64(0.083), np.float64(0.087068885), np.float64(0.105141735), np.float64(0.178928565), np.float64(0.367311015), np.float64(0.4465), np.float64(0.46618025500000004)]"
1540_volcanoes-d3,"['DyS', 'MAX', 'X', 'SORD', 'SMM', 'MS', 'HDy', 'ACC', 'PCC', 'PACC', 'CC']","[0.15101425 0.1481618  0.14227205 0.1417162  0.10791996 0.08965301
 0.08845194 0.05285735 0.02869166 0.02525656 0.02400521]","[np.float64(0.06064130487000002), np.float64(0.06180878565833333), np.float64(0.06436753511666668), np.float64(0.06462000000000004), np.float64(0.08485641665000004), np.float64(0.10214605432500004), np.float64(0.1035330750000001), np.float64(0.1732531271499999), np.float64(0.31917639284999955), np.float64(0.36258698394999994), np.float64(0.3814880000000001)]","['SORD', 'SMM', 'DyS', 'MAX', 'X', 'HDy', 'MS', 'ACC', 'PACC', 'PCC', 'CC']","[0.18110966 0.15263839 0.1510337  0.149722   0.149722   0.06965179
 0.04732422 0.03309288 0.02539672 0.02218987 0.01811878]","[np.float64(0.0464), np.float64(0.05505488), np.float64(0.055639825), np.float64(0.056127279999999995), np.float64(0.056127279999999995), np.float64(0.12065), np.float64(0.17757268), np.float64(0.25393647), np.float64(0.33088872), np.float64(0.378708235), np.float64(0.46380000000000005)]"
1541_volcanoes-d4,"['SORD', 'X', 'DyS', 'MAX', 'SMM', 'HDy', 'MS', 'ACC', 'PCC', 'PACC', 'CC']","[0.14736425 0.14491089 0.1435311  0.14083448 0.12512143 0.0865803
 0.08252153 0.05485169 0.0289729  0.02467176 0.02063966]","[np.float64(0.05777450000000002), np.float64(0.05875262862000001), np.float64(0.05931743030000006), np.float64(0.06045320489000004), np.float64(0.06804506405000009), np.float64(0.09833525000000007), np.float64(0.10317181093333337), np.float64(0.1552166456733333), np.float64(0.2938572676999999), np.float64(0.34508666009999994), np.float64(0.4125018000000001)]","['X', 'MAX', 'SORD', 'DyS', 'SMM', 'HDy', 'MS', 'ACC', 'PACC', 'PCC', 'CC']","[0.19967266 0.1668866  0.1429985  0.13829036 0.110776   0.07490861
 0.05133921 0.03513534 0.02856774 0.02823033 0.02319465]","[np.float64(0.05507306), np.float64(0.065892555), np.float64(0.07690000000000001), np.float64(0.079518085), np.float64(0.09926865), np.float64(0.14679999999999999), np.float64(0.214194635), np.float64(0.3129779), np.float64(0.38493012), np.float64(0.3895308), np.float64(0.47409999999999997)]"
1566_hill-valley,"['X', 'ACC', 'SMM', 'PCC', 'MS', 'HDy', 'MAX', 'SORD', 'DyS', 'CC', 'PACC']","[0.14047075 0.12459044 0.1059603  0.09516056 0.0901402  0.08899806
 0.08697513 0.07641623 0.07300297 0.06669819 0.05158718]","[np.float64(0.13209340712083337), np.float64(0.14893005145), np.float64(0.17511521017499995), np.float64(0.1949889846499998), np.float64(0.20584889613333346), np.float64(0.20849062499999998), np.float64(0.21333983284999994), np.float64(0.2428183333333335), np.float64(0.2541713241050001), np.float64(0.2781973750000002), np.float64(0.3596874352900001)]","['SORD', 'SMM', 'MS', 'HDy', 'PACC', 'DyS', 'PCC', 'CC', 'ACC', 'MAX', 'X']","[0.19228776 0.14481405 0.14180565 0.097596   0.07111947 0.07099125
 0.06576911 0.05641742 0.05306643 0.05306643 0.05306643]","[np.float64(0.07225000000000001), np.float64(0.09593538), np.float64(0.09797064000000001), np.float64(0.14235), np.float64(0.195344405), np.float64(0.195697225), np.float64(0.21123579499999998), np.float64(0.24625), np.float64(0.2618), np.float64(0.2618), np.float64(0.2618)]"
