dataset,predicted_ranking,true_ranking,predicted_ranking_error,true_ranking_error
eeg,"['SMM', 'SORD', 'MAX', 'DyS', 'X', 'HDy', 'PCC', 'ACC', 'MS', 'PACC', 'CC']","['HDy', 'SORD', 'DyS', 'SMM', 'PACC', 'PCC', 'MAX', 'X', 'ACC', 'CC', 'MS']","[np.float64(0.07548849999999997), np.float64(0.0791615), np.float64(0.0867735), np.float64(0.08702550000000006), np.float64(0.088184), np.float64(0.09494799999999992), np.float64(0.18616500000000008), np.float64(0.24317149999999998), np.float64(0.2475975000000001), np.float64(0.3058654999999999), np.float64(0.34327400000000025)]","[np.float64(0.19845000000000002), np.float64(0.22195), np.float64(0.22475), np.float64(0.2407), np.float64(0.26139999999999997), np.float64(0.26139999999999997), np.float64(0.28635), np.float64(0.28635), np.float64(0.49985), np.float64(0.49985), np.float64(0.49985)]"
jm1-processed,"['SMM', 'HDy', 'SORD', 'MAX', 'X', 'DyS', 'PCC', 'ACC', 'PACC', 'MS', 'CC']","['DyS', 'SORD', 'MAX', 'SMM', 'X', 'HDy', 'MS', 'ACC', 'PCC', 'CC', 'PACC']","[np.float64(0.08727049999999995), np.float64(0.11798749999999991), np.float64(0.12283249999999994), np.float64(0.1259055000000001), np.float64(0.129313), np.float64(0.135034), np.float64(0.2210100000000001), np.float64(0.29483249999999994), np.float64(0.3140319999999999), np.float64(0.32008500000000006), np.float64(0.32810300000000003)]","[np.float64(0.0952), np.float64(0.10965), np.float64(0.11005000000000001), np.float64(0.11600000000000002), np.float64(0.11835), np.float64(0.1266), np.float64(0.17655), np.float64(0.2076), np.float64(0.3255), np.float64(0.46215), np.float64(0.5)]"
letter-recognition,"['SMM', 'HDy', 'DyS', 'SORD', 'MAX', 'X', 'PCC', 'MS', 'PACC', 'CC', 'ACC']","['DyS', 'SORD', 'SMM', 'MAX', 'X', 'HDy', 'MS', 'ACC', 'PCC', 'CC', 'PACC']","[np.float64(0.09908949999999996), np.float64(0.10353399999999997), np.float64(0.12306000000000004), np.float64(0.12451799999999992), np.float64(0.13652350000000005), np.float64(0.139182), np.float64(0.20402200000000004), np.float64(0.3072594999999997), np.float64(0.31022599999999995), np.float64(0.32501900000000006), np.float64(0.3271364999999999)]","[np.float64(0.0766), np.float64(0.0804), np.float64(0.08505), np.float64(0.08715), np.float64(0.08715), np.float64(0.0994), np.float64(0.14025), np.float64(0.20470000000000002), np.float64(0.31205), np.float64(0.4474), np.float64(0.5)]"
magic,"['SMM', 'HDy', 'SORD', 'MAX', 'X', 'DyS', 'PCC', 'ACC', 'MS', 'CC', 'PACC']","['DyS', 'SMM', 'SORD', 'MS', 'MAX', 'X', 'ACC', 'HDy', 'PACC', 'CC', 'PCC']","[np.float64(0.1015599999999999), np.float64(0.11060099999999994), np.float64(0.11687449999999995), np.float64(0.12155500000000007), np.float64(0.12402949999999997), np.float64(0.12892499999999996), np.float64(0.2147720000000001), np.float64(0.2919344999999998), np.float64(0.30612999999999996), np.float64(0.3340385000000003), np.float64(0.3599885)]","[np.float64(0.047950000000000007), np.float64(0.0539), np.float64(0.05455), np.float64(0.05525), np.float64(0.058100000000000006), np.float64(0.058100000000000006), np.float64(0.0635), np.float64(0.0836), np.float64(0.1349), np.float64(0.18445), np.float64(0.1845)]"
mozilla,"['HDy', 'SMM', 'SORD', 'MAX', 'DyS', 'X', 'PCC', 'MS', 'PACC', 'ACC', 'CC']","['DyS', 'SORD', 'MS', 'X', 'MAX', 'SMM', 'ACC', 'HDy', 'CC', 'PACC', 'PCC']","[np.float64(0.09044599999999997), np.float64(0.10700049999999996), np.float64(0.110188), np.float64(0.12675250000000005), np.float64(0.12685600000000002), np.float64(0.13234299999999993), np.float64(0.2433750000000002), np.float64(0.3036359999999999), np.float64(0.30468299999999987), np.float64(0.3159424999999998), np.float64(0.3195310000000001)]","[np.float64(0.0388), np.float64(0.0398), np.float64(0.04005), np.float64(0.042249999999999996), np.float64(0.042749999999999996), np.float64(0.043100000000000006), np.float64(0.044950000000000004), np.float64(0.046950000000000006), np.float64(0.09585), np.float64(0.13705), np.float64(0.18055000000000002)]"
namao,"['SMM', 'SORD', 'HDy', 'DyS', 'MAX', 'X', 'PCC', 'ACC', 'CC', 'MS', 'PACC']","['DyS', 'MS', 'SORD', 'SMM', 'ACC', 'X', 'MAX', 'HDy', 'PACC', 'CC', 'PCC']","[np.float64(0.10166049999999999), np.float64(0.1052844999999999), np.float64(0.11708499999999987), np.float64(0.1318765), np.float64(0.1377305), np.float64(0.148315), np.float64(0.24115150000000019), np.float64(0.31514099999999984), np.float64(0.33741600000000027), np.float64(0.3439744999999998), np.float64(0.353768)]","[np.float64(0.01545), np.float64(0.0167), np.float64(0.017), np.float64(0.017800000000000003), np.float64(0.01975), np.float64(0.02015), np.float64(0.02065), np.float64(0.02275), np.float64(0.02515), np.float64(0.044700000000000004), np.float64(0.0615)]"
occupancy,"['SMM', 'HDy', 'SORD', 'MAX', 'DyS', 'X', 'PCC', 'ACC', 'MS', 'PACC', 'CC']","['ACC', 'DyS', 'SORD', 'MAX', 'MS', 'CC', 'X', 'SMM', 'HDy', 'PCC', 'PACC']","[np.float64(0.09350649999999999), np.float64(0.1116244999999999), np.float64(0.11594799999999993), np.float64(0.1248915), np.float64(0.13339549999999997), np.float64(0.1384795), np.float64(0.2125530000000001), np.float64(0.2578384999999999), np.float64(0.27785150000000003), np.float64(0.33823849999999994), np.float64(0.343772)]","[np.float64(0.007549999999999999), np.float64(0.007549999999999999), np.float64(0.0078), np.float64(0.00785), np.float64(0.00795), np.float64(0.00915), np.float64(0.009600000000000001), np.float64(0.010150000000000001), np.float64(0.0182), np.float64(0.0294), np.float64(0.0306)]"
phoneme,"['SMM', 'SORD', 'HDy', 'MAX', 'DyS', 'X', 'PCC', 'ACC', 'MS', 'PACC', 'CC']","['DyS', 'SORD', 'MAX', 'SMM', 'X', 'HDy', 'MS', 'ACC', 'PACC', 'PCC', 'CC']","[np.float64(0.09128799999999991), np.float64(0.1141214999999999), np.float64(0.11914499999999993), np.float64(0.12524100000000007), np.float64(0.13854450000000007), np.float64(0.14851849999999994), np.float64(0.21669900000000006), np.float64(0.256075), np.float64(0.2900064999999999), np.float64(0.33852299999999985), np.float64(0.3445880000000002)]","[np.float64(0.046700000000000005), np.float64(0.0521), np.float64(0.05800000000000001), np.float64(0.05800000000000001), np.float64(0.0601), np.float64(0.0685), np.float64(0.07965), np.float64(0.09759999999999999), np.float64(0.1704), np.float64(0.23115000000000002), np.float64(0.2555)]"
spambase,"['SMM', 'SORD', 'HDy', 'X', 'MAX', 'DyS', 'PCC', 'ACC', 'CC', 'MS', 'PACC']","['DyS', 'SORD', 'MAX', 'MS', 'SMM', 'X', 'ACC', 'HDy', 'PACC', 'CC', 'PCC']","[np.float64(0.09426599999999995), np.float64(0.11281699999999992), np.float64(0.11307899999999994), np.float64(0.13215449999999998), np.float64(0.137056), np.float64(0.1419245), np.float64(0.21935350000000006), np.float64(0.3049334999999999), np.float64(0.3303840000000002), np.float64(0.34033699999999983), np.float64(0.38232350000000004)]","[np.float64(0.02555), np.float64(0.026500000000000003), np.float64(0.02665), np.float64(0.028450000000000003), np.float64(0.028750000000000005), np.float64(0.028800000000000003), np.float64(0.03760000000000001), np.float64(0.0453), np.float64(0.0743), np.float64(0.08575), np.float64(0.1014)]"
winetype,"['SMM', 'SORD', 'HDy', 'MAX', 'DyS', 'X', 'PCC', 'ACC', 'MS', 'PACC', 'CC']","['DyS', 'MAX', 'X', 'SORD', 'CC', 'MS', 'PACC', 'SMM', 'ACC', 'PCC', 'HDy']","[np.float64(0.09925099999999996), np.float64(0.11415249999999992), np.float64(0.1185624999999999), np.float64(0.12324300000000003), np.float64(0.1282255), np.float64(0.14143749999999997), np.float64(0.22469000000000017), np.float64(0.2799849999999999), np.float64(0.3052354999999999), np.float64(0.3373460000000001), np.float64(0.3584040000000002)]","[np.float64(0.007050000000000001), np.float64(0.007299999999999999), np.float64(0.009049999999999999), np.float64(0.0094), np.float64(0.01055), np.float64(0.0108), np.float64(0.01175), np.float64(0.01265), np.float64(0.01305), np.float64(0.0184), np.float64(0.01855)]"
