Method,Dataset,MAE
BASELINE+TOP3+MEAN,12_mfeat-factors,0.0138166666666666
BASELINE+TOP3+MEAN,1456_appendicitis,0.3231
BASELINE+TOP3+MEAN,1460_banana,0.1562666666666666
BASELINE+TOP3+MEAN,1462_banknote-authentication,0.0047833333333333
BASELINE+TOP3+MEAN,1464_blood-transfusion-service-center,0.1543749999999999
BASELINE+TOP3+MEAN,1465_breast-tissue,0.1777833333333333
BASELINE+TOP3+MEAN,1466_cardiotocography,0.0015
BASELINE+TOP3+MEAN,1467_climate-model-simulation-crashes,0.4479833333333334
BASELINE+TOP3+MEAN,1473_fertility,0.289
BASELINE+TOP3+MEAN,1475_first-order-theorem-proving,0.087
BASELINE+TOP3+MEAN,1479_hill-valley,0.0644666666666666
BASELINE+TOP3+MEAN,1484_lsvt,0.0699333333333333
BASELINE+TOP3+MEAN,1485_madelon,0.0558666666666666
BASELINE+TOP3+MEAN,1487_ozone-level-8hr,0.1911333333333333
BASELINE+TOP3+MEAN,1488_parkinsons,0.1036499999999999
BASELINE+TOP3+MEAN,1489_phoneme,0.0266166666666666
BASELINE+TOP3+MEAN,1490_planning-relax,0.26145
BASELINE+TOP3+MEAN,1494_qsar-biodeg,0.0369
BASELINE+TOP3+MEAN,1495_qualitative-bankruptcy,0.0499749999999999
BASELINE+TOP3+MEAN,1496_ringnorm,0.0325666666666666
BASELINE+TOP3+MEAN,1497_wall-robot-navigation,0.01945
BASELINE+TOP3+MEAN,1498_sa-heart,0.0914499999999999
BASELINE+TOP3+MEAN,14_mfeat-fourier,0.0075
BASELINE+TOP3+MEAN,1501_semeion,0.0258
BASELINE+TOP3+MEAN,1504_steel-plates-fault,0.0014749999999999
BASELINE+TOP3+MEAN,1506_thoracic-surgery,0.28775
BASELINE+TOP3+MEAN,1507_twonorm,0.0063833333333333
BASELINE+TOP3+MEAN,1508_user-knowledge,0.0887
BASELINE+TOP3+MEAN,1510_wdbc,0.0085166666666666
BASELINE+TOP3+MEAN,1511_wholesale-customers,0.0151
BASELINE+TOP3+MEAN,1512_heart-long-beach,0.4143
BASELINE+TOP3+MEAN,1519_robot-failures-lp4,0.1263666666666666
BASELINE+TOP3+MEAN,1520_robot-failures-lp5,0.2159999999999999
BASELINE+TOP3+MEAN,1523_vertebra-column,0.0142499999999999
BASELINE+TOP3+MEAN,1526_wall-robot-navigation,0.0246499999999999
BASELINE+TOP3+MEAN,1527_volcanoes-a1,0.1327166666666666
BASELINE+TOP3+MEAN,1528_volcanoes-a2,0.0739
BASELINE+TOP3+MEAN,1529_volcanoes-a3,0.0332833333333333
BASELINE+TOP3+MEAN,1530_volcanoes-a4,0.0572833333333333
BASELINE+TOP3+MEAN,1535_volcanoes-b5,0.21215
BASELINE+TOP3+MEAN,1538_volcanoes-d1,0.1657999999999999
BASELINE+TOP3+MEAN,1539_volcanoes-d2,0.2442249999999999
BASELINE+TOP3+MEAN,1540_volcanoes-d3,0.0196166666666666
BASELINE+TOP3+MEAN,1541_volcanoes-d4,0.2858833333333333
BASELINE+TOP3+MEAN,1547_autoUniv-au1-1000,0.1782666666666666
BASELINE+TOP3+MEAN,1559_breast-tissue,0.1641999999999999
BASELINE+TOP3+MEAN,1565_heart-h,0.1242833333333333
BASELINE+TOP3+MEAN,1566_hill-valley,0.1018333333333333
BASELINE+TOP3+MEAN,1570_wilt,0.0704499999999999
BASELINE+TOP3+MEAN,1600_SPECTF,0.0443166666666666
BASELINE+TOP3+MEAN,16_mfeat-karhunen,0.026025
BASELINE+TOP3+MEAN,182_satimage,0.00495
BASELINE+TOP3+MEAN,187_wine,0.0237666666666666
BASELINE+TOP3+MEAN,18_mfeat-morphological,0.0162333333333333
BASELINE+TOP3+MEAN,20_mfeat-pixel,0.0147999999999999
BASELINE+TOP3+MEAN,22_mfeat-zernike,0.0361166666666666
BASELINE+TOP3+MEAN,23_cmc,0.12235
BASELINE+TOP3+MEAN,28_optdigits,0.0236499999999999
BASELINE+TOP3+MEAN,292_Australian,0.0452333333333333
BASELINE+TOP3+MEAN,294_satellite_image,0.0058833333333333
BASELINE+TOP3+MEAN,30_page-blocks,0.04295
BASELINE+TOP3+MEAN,311_oil_spill,0.1707166666666666
BASELINE+TOP3+MEAN,312_scene,0.0136666666666666
BASELINE+TOP3+MEAN,316_yeast_ml8,0.4363333333333333
BASELINE+TOP3+MEAN,329_hayes-roth,0.080425
BASELINE+TOP3+MEAN,333_monks-problems-1,0.0534666666666666
BASELINE+TOP3+MEAN,334_monks-problems-2,0.3045
BASELINE+TOP3+MEAN,335_monks-problems-3,0.0079166666666666
BASELINE+TOP3+MEAN,336_SPECT,0.1953833333333333
BASELINE+TOP3+MEAN,36_segment,0.0040666666666666
BASELINE+TOP3+MEAN,375_JapaneseVowels,0.0197
BASELINE+TOP3+MEAN,377_synthetic_control,0.0042666666666666
BASELINE+TOP3+MEAN,37_diabetes,0.08455
BASELINE+TOP3+MEAN,40474_thyroid-allbp,0.0262666666666666
BASELINE+TOP3+MEAN,40475_thyroid-allhyper,0.0291666666666666
BASELINE+TOP3+MEAN,40496_LED-display-domain-7digit,0.18255
BASELINE+TOP3+MEAN,40733_yeast,0.1175666666666666
BASELINE+TOP3+MEAN,40877_seeds,0.0182
BASELINE+TOP3+MEAN,40_sonar,0.0432249999999999
BASELINE+TOP3+MEAN,43_haberman,0.1879666666666666
BASELINE+TOP3+MEAN,44_spambase,0.0125
BASELINE+TOP3+MEAN,450_analcatdata_lawsuit,0.2244999999999999
BASELINE+TOP3+MEAN,4538_GesturePhaseSegmentationProcessed,0.0510999999999999
BASELINE+TOP3+MEAN,458_analcatdata_authorship,0.0092666666666666
BASELINE+TOP3+MEAN,461_analcatdata_creditscore,0.0522166666666666
BASELINE+TOP3+MEAN,463_backache,0.4090749999999999
BASELINE+TOP3+MEAN,464_prnn_synth,0.0163333333333333
BASELINE+TOP3+MEAN,48_tae,0.27185
BASELINE+TOP3+MEAN,53_heart-statlog,0.1143
BASELINE+TOP3+MEAN,54_vehicle,0.0180999999999999
BASELINE+TOP3+MEAN,59_ionosphere,0.0467
BASELINE+TOP3+MEAN,60_waveform-5000,0.0246
BASELINE+TOP3+MEAN,61_iris,0.0160833333333333
BASELINE+TOP3+MEAN,679_rmftsa_sleepdata,0.289
BASELINE+TOP3+MEAN,694_diggle_table_a2,0.0297666666666666
BASELINE+TOP3+MEAN,AedesQuinx,0.0649166666666666
BASELINE+TOP3+MEAN,AedesSex,0.00505
BASELINE+TOP3+MEAN,anuranCalls,0.0110499999999999
BASELINE+TOP3+MEAN,ArabicDigit,0.0040666666666666
BASELINE+TOP3+MEAN,BNG,0.0047833333333333
BASELINE+TOP3+MEAN,click-prediction,0.4450666666666668
BASELINE+TOP3+MEAN,cmc,0.0300749999999999
BASELINE+TOP3+MEAN,covtype_reduced,0.02605
BASELINE+TOP3+MEAN,default_credit_card_clients,0.1492
BASELINE+TOP3+MEAN,eeg,0.1358833333333333
BASELINE+TOP3+MEAN,HTRU,0.0348
BASELINE+TOP3+MEAN,jm1-processed,0.1167666666666666
BASELINE+TOP3+MEAN,letter-recognition,0.1074666666666667
BASELINE+TOP3+MEAN,magic,0.0192499999999999
BASELINE+TOP3+MEAN,mozilla,0.066725
BASELINE+TOP3+MEAN,namao,0.0144
BASELINE+TOP3+MEAN,occupancy,0.0032749999999999
BASELINE+TOP3+MEAN,phoneme,0.1046666666666666
BASELINE+TOP3+MEAN,spambase,0.0078666666666666
BASELINE+TOP3+MEAN,winetype,0.0028166666666666
BASELINE+TOP3+MEDIAN,1043_ada_agnostic,0.1752
BASELINE+TOP3+MEDIAN,1048_jEdit_4,0.08075
BASELINE+TOP3+MEDIAN,1049_pc4,0.248125
BASELINE+TOP3+MEDIAN,1050_pc3,0.20975
BASELINE+TOP3+MEDIAN,1054_mc2,0.0299999999999999
BASELINE+TOP3+MEDIAN,1056_mc1,0.1555999999999999
BASELINE+TOP3+MEDIAN,1061_ar4,0.1617499999999999
BASELINE+TOP3+MEDIAN,1065_kc3,0.5
