,ACC,CC,DyS,HDy,MAX,MS,PACC,PCC,SMM,SORD,X
1043_ada_agnostic,1.026460029131099,0.9124055072722091,1.035124520649043,0.9916764105929605,1.0236315139289967,1.0307263046758128,1.009514499077844,0.9009170266985059,1.0324308644390228,1.0366627578812422,1.0236315139289967
1460_banana,0.8727104492592976,0.9271191005545584,1.1476837986690573,1.1758443839965682,1.0996902387537615,1.0410764521837004,0.8456367157864353,0.9908998622447879,0.9628225480660364,1.1159206408421896,0.9355415842965463
1462_banknote-authentication,1.001559610256622,0.9975060715222979,1.0068363664105981,1.0014058541103465,1.0046709409032697,1.0035131679791207,0.983482024366328,0.9903221489625265,1.0014559647500887,1.003922321352615,1.0057922833923265
1466_cardiotocography,1.0013857240022652,1.0013857240022652,0.9997818640832588,1.0008950070998648,1.0004042901974641,1.0013857240022652,0.9963675463111372,0.9963675463111372,1.0002687371494825,1.0013857240022652,1.0004042901974641
1475_first-order-theorem-proving,1.0260243901058137,0.9307247435380116,1.0359548890701673,1.0324929616613043,1.0263513159340734,1.034158235565752,0.9455193159114901,0.9044939807487289,1.0351246275404127,1.0372616615560803,1.015304168946311
1479_hill-valley,1.058272057836145,0.8630380497293885,1.0773752634245337,1.0852220283087366,1.0817555957464497,1.0543555026453917,0.7605279617435949,0.935661231445988,1.0602188165696966,1.066913138953881,1.0817555957464497
1485_madelon,0.9876630866756075,0.9997403181130782,1.0084092343258089,0.9848439444255547,1.0077637424477948,1.011899994940426,0.9979853838879158,0.9918060455773612,1.011303436770268,1.0119679346660377,0.9876630866756075
1489_phoneme,1.0080039738967013,0.8879952737554276,1.0479104572217501,1.0352500692289939,1.035932093147235,1.03326865225942,0.9698046926709285,0.893280080807419,1.0418438268390051,1.045540442636338,1.035932093147235
1494_qsar-biodeg,0.9987988441220356,0.995670678328602,1.0293352575113286,1.0364905223209493,1.0005514373889786,1.0171814706657316,0.9930929477056463,0.9345268962384633,1.0165671142183008,1.0121748252275993,0.9730688785266743
1496_ringnorm,1.0167743038606567,0.9498181709516011,1.032320616886452,1.0197458719447456,1.0269729361730289,1.0290644302983938,0.9621529404099162,0.9101621571747611,1.0272758667252373,1.029669805766344,1.0122709021449103
1497_wall-robot-navigation,1.0240871025771505,0.9368248510798308,1.032837321419776,1.0255544270308359,1.0192013105537747,1.0314775062744517,0.9584164853153407,0.910731463135639,1.0298513067556336,1.0292026392971754,1.020349778189978
1504_steel-plates-fault,1.0009511103489015,1.0009511103489015,0.9997757294387377,0.9992070276379312,1.0009511103489015,1.0009511103489015,0.9978100803168095,0.9978100803168095,0.9997047841491866,1.0009511103489017,1.0009511103489017
1507_twonorm,0.9999120889953765,0.995160120641898,1.003687204977783,1.00399379362544,1.0000743630193494,1.0026951899799037,0.998955408978561,0.9901789058259075,1.0025809059199848,1.0028452649561264,1.0000743630193494
1526_wall-robot-navigation,0.9996852223900919,0.9080996489015527,1.083526888457606,1.083378706547133,1.0681711428206104,1.050438888716068,0.7805138306821723,0.9336676822119883,1.059052101272648,1.068186268396344,1.06075330057825
1535_volcanoes-b5,1.030385692860199,0.8367786165072447,1.0494304942395503,0.9418700299349749,1.0850025981127887,1.0360174383581242,1.067498689648979,0.8525952230353122,1.0448605727272153,1.0468735659391937,1.0873651064629295
1538_volcanoes-d1,1.0132707593951364,0.8121704002952784,1.1113981984867962,1.0133592000853784,1.1140638983199362,1.1031686560889733,0.8045280800430031,0.8578326981824089,1.1071478478503896,1.1171549624559494,1.108596052965364
1539_volcanoes-d2,1.0052685763851321,0.8209867996763771,1.1104213969057974,1.0993533664481359,1.0911657597487832,1.0855928623777202,0.807049572017033,0.8689884234151177,1.0670646085236766,1.0892760138196058,1.0985264076317607
1540_volcanoes-d3,0.9419970594678888,0.8110150256892051,1.1167872243575858,1.0482386446189238,1.116216657280019,1.0029958279803683,0.8784277160093806,0.8610554812044384,1.1174851526194425,1.1271583192001613,1.116216657280019
1541_volcanoes-d4,0.9209500297668036,0.8253993897055703,1.1161686244580888,1.0470495011187106,1.1311584695518078,0.9948863288212586,0.8662776718995785,0.8755065671946871,1.095828938140785,1.1194351256393662,1.14382771621869
1566_hill-valley,0.9341896348193023,0.9560258554734796,0.9879703960088904,1.038205980953386,0.9341896348193023,1.0846328304941777,0.9950603604841202,0.9789086106652307,1.084657223701055,1.110375922001253,0.9341896348193023
182_satimage,1.001288012812967,0.9986088262919038,1.003657575628321,1.003167573252231,0.999792191186016,1.0017434845401116,1.0003551342704298,0.9902058173607013,1.001907922562752,1.0022529507587814,0.9971512032213221
23_cmc,1.0383939690242818,0.9309654747726057,1.053498574176833,0.9949426545865461,1.0452076600255757,1.0629458695877712,0.8412553377772379,0.9240154936462573,1.0612514970618474,1.0593921325817943,1.0419717963989386
28_optdigits,1.0082313917226924,0.979998765039068,1.006322958033949,0.991170848967301,1.0078464357652157,1.009835364584153,1.0012427635276884,0.9697886863574098,1.0099724168787214,1.0095070163286284,1.0078464357652157
294_satellite_image,1.002005853426195,0.9946104100717633,1.0033376093610429,0.9997390511641505,1.0000741605236285,1.0028228335391662,1.0006015158935635,0.9900558619087866,1.002620263278112,1.0030624742081116,1.001224679640809
2dplanes,1.0132888904598498,0.9597151186674683,1.0215870085504766,1.0155020491024553,1.0117834881113343,1.018140524292516,0.988263315612334,0.9308674623861494,1.0178521727209238,1.0179458151045224,1.0132888904598496
30_page-blocks,0.9981505877837096,0.9358262251667725,1.0419093630202911,1.0159387780617337,1.0380663627666376,1.0010873053988119,1.008612452397648,0.9220742257547677,1.0048901171770852,1.009786654299242,1.0380663627666376
312_scene,1.011575523944586,0.9894513071323919,1.0127048820119133,1.010247567012302,1.010670039834046,1.010763355878929,0.979676576848122,0.9499945382689828,1.010586148399676,1.0110459476393736,1.0069719286392103
375_JapaneseVowels,1.0082309747601708,0.9689787496734782,1.0129587600107277,0.9936898638142274,1.010129054944501,1.0101322033933364,1.0098070950179914,0.9596206851657746,1.0096036533133204,1.0106786623919963,1.009394597439131
40474_thyroid-allbp,1.0129323597442217,0.9365894695640107,1.0331568573659784,1.028749140703979,1.0216482109711593,1.0318039908916588,0.9678492372976584,0.9097867902290702,1.030383707403054,1.0318114017076978,1.0132275314764636
40475_thyroid-allhyper,1.0129323597442217,0.9365894695640107,1.0331568573659784,1.028749140703979,1.0216482109711593,1.0318039908916588,0.9678492372976584,0.9097867902290702,1.030383707403054,1.0318114017076978,1.0132275314764636
40733_yeast,0.8649245645934714,0.8859080530500643,1.1128366262709106,1.092569082044593,1.109864760704757,0.9730317532471935,0.8082884487905933,0.9507263440426212,1.098085725187309,1.1207035992628702,1.117610751657586
44_spambase,1.0094525819096065,0.9806575669181706,1.0128735664740927,1.0063299771889027,1.0087354378833422,1.0118608138459577,0.9879643664476326,0.9512162506112251,1.0122573740205003,1.0122167537471514,1.0099989311167403
4538_GesturePhaseSegmentationProcessed,1.0131925377119615,0.8773693663126976,1.0834116424893345,1.0324691930558763,1.0705854123140488,1.0541866085301157,0.8001140929879931,0.9369819983801413,1.0747062155521765,1.0783435944535589,1.0701788129287426
60_waveform-5000,1.0046575426966373,0.9723562031010268,1.024292808748469,1.0047519919017505,1.0196349382217351,1.0162191618852803,0.990199519691604,0.9282502537398883,1.0145081400302405,1.0192251177767453,1.0135403559717857
679_rmftsa_sleepdata,0.9146289714104521,0.9148827687705288,1.1051391691705066,1.102462589787426,1.106018493138154,1.0754145637767016,0.8148468579816083,0.9584167736628839,1.0290082675057761,1.0903366538530606,0.9822279616817214
AedesQuinx,1.01625585091117,0.965416251714965,1.0227950719124652,1.0094664876811037,1.01625585091117,1.0205156264390727,0.977440108539809,0.924315840063267,1.0197079710820316,1.0211776798378032,1.0162154538594708
AedesSex,1.002513004003348,0.999447199195379,1.0039455412995286,1.0006249242748138,1.001064110498739,1.003571043796288,0.9950004128862924,0.9860983415086082,1.0028113639976657,1.0041173065827889,1.0010641104987392
ArabicDigit,0.9984550849188428,0.9982987923939068,1.0026384205170624,1.0026355964881242,0.9997004594878804,1.001314394800226,0.9987538882636409,0.9947367209693558,1.0011236091752713,1.0018698352424127,1.0005235557336873
BNG,1.000623648474851,0.9946014498920658,1.0033561132799276,1.0007985638493586,1.0018055921539346,1.0027236237386057,0.9990325948506186,0.988594496916624,1.0026484310005237,1.0035438140359865,1.002462717349913
BNG_breast-w,1.000623648474851,0.9946014498920658,1.0033561132799276,1.0007985638493586,1.0018055921539346,1.0027236237386057,0.9990325948506186,0.988594496916624,1.0026484310005237,1.0035438140359865,1.002462717349913
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.9494271480680275,1.0565984490590568,1.0111748715150757,1.0598831682666332,0.9364281195728698,1.0243107961131301,0.9147996578924648,1.0716144790753805,1.0534267019389503,1.0282850474325944,0.926817670544823
GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1,0.9256848796699486,1.0667665041853258,1.0355835714583606,1.020538421673222,1.015734840331201,1.0178015561100107,0.9081220716535805,1.0635328502571457,1.0140086776364803,0.9936622457158283,0.9631024582213206
HTRU,1.0110239946607211,0.9448441008896673,1.0164690175983973,1.0005603392318556,1.01737519249138,1.013907293394198,1.0137035209758525,0.9462833519309128,1.0149423413413825,1.0141777472177709,1.0139017408728557
MagicTelescope,1.02617735379453,0.9186331239877324,1.0365727660745132,1.0045256683488208,1.025825825753129,1.0343616011655457,0.9664526220005432,0.9141932496938996,1.033708433456385,1.0346266301667633,1.025825825753129
