dataset,predicted_ranking,predicted_ranking_weights,predicted_ranking_mae,true_ranking,true_ranking_weights,true_ranking_mae
phplE7q6h,"['DyS', 'SORD', 'MS', 'HDy', 'MAX', 'SMM', 'ACC', 'X', 'CC', 'PCC', 'PACC']","[0.13424681 0.11978565 0.11898588 0.11219499 0.10320568 0.09413365
 0.08333973 0.0828381  0.05525948 0.05017533 0.0458347 ]","[np.float64(0.0680229104), np.float64(0.07623499999999991), np.float64(0.07674741701666672), np.float64(0.08139274999999989), np.float64(0.08848213693999997), np.float64(0.0970095088), np.float64(0.10957389264166671), np.float64(0.11023741923749993), np.float64(0.16525416666666679), np.float64(0.18199899409999984), np.float64(0.19923459813333305)]","['DyS', 'HDy', 'SMM', 'MS', 'SORD', 'ACC', 'MAX', 'X', 'PCC', 'CC', 'PACC']","[0.13979437 0.130925   0.11687711 0.11348912 0.11218425 0.08257233
 0.07285596 0.07238728 0.06662243 0.05843494 0.03385721]","[np.float64(0.12109645499999999), np.float64(0.1293), np.float64(0.14484105), np.float64(0.14916499), np.float64(0.1509), np.float64(0.20501544500000002), np.float64(0.23235714000000002), np.float64(0.23386157000000002), np.float64(0.25409764), np.float64(0.2897), np.float64(0.5)]"
phpmPOD5A,"['DyS', 'X', 'MS', 'SORD', 'SMM', 'MAX', 'HDy', 'ACC', 'PACC', 'CC', 'PCC']","[0.13660601 0.1213389  0.11526973 0.11300315 0.11110519 0.10968724
 0.08472987 0.06220058 0.05743821 0.04431648 0.04430465]","[np.float64(0.07653813532333333), np.float64(0.08616831511250003), np.float64(0.09070524421666665), np.float64(0.09252458333333335), np.float64(0.0941051323083333), np.float64(0.09532165080833327), np.float64(0.12339885833333336), np.float64(0.16809439366), np.float64(0.18203160475833338), np.float64(0.23592958333333333), np.float64(0.23599261170000002)]","['HDy', 'SORD', 'SMM', 'MAX', 'X', 'PACC', 'PCC', 'DyS', 'ACC', 'CC', 'MS']","[0.13122115 0.11183729 0.09400663 0.09037644 0.09037644 0.08615869
 0.08615869 0.07819373 0.07722365 0.07722365 0.07722365]","[np.float64(0.29425), np.float64(0.34525), np.float64(0.41073509999999996), np.float64(0.427233305), np.float64(0.427233305), np.float64(0.44814773), np.float64(0.44814773), np.float64(0.493796915), np.float64(0.5), np.float64(0.5), np.float64(0.5)]"
phpwRjVjk,"['HDy', 'DyS', 'SORD', 'MAX', 'MS', 'PCC', 'SMM', 'X', 'CC', 'ACC', 'PACC']","[0.19588968 0.16499121 0.12910446 0.11851255 0.09156989 0.05944148
 0.05878576 0.05606392 0.04620292 0.0434009  0.03603723]","[np.float64(0.0790209999999999), np.float64(0.09381953723333332), np.float64(0.11989825000000008), np.float64(0.13061400043333335), np.float64(0.16904462676666668), np.float64(0.26041408421), np.float64(0.26331885505000024), np.float64(0.2761026935949998), np.float64(0.33503075000000027), np.float64(0.35666079830749964), np.float64(0.42953905770000006)]","['HDy', 'DyS', 'SORD', 'MAX', 'MS', 'PCC', 'SMM', 'X', 'CC', 'ACC', 'PACC']","[0.26209283 0.17121165 0.11935545 0.10545952 0.07781131 0.06039108
 0.04715671 0.04406048 0.04372395 0.0367617  0.03197533]","[np.float64(0.061000000000000006), np.float64(0.093379525), np.float64(0.13394999999999999), np.float64(0.1516), np.float64(0.20546708500000002), np.float64(0.264735515), np.float64(0.33903264499999997), np.float64(0.362857175), np.float64(0.36565), np.float64(0.4349), np.float64(0.5)]"
phpxijhaP,"['SORD', 'MS', 'ACC', 'SMM', 'X', 'HDy', 'PACC', 'DyS', 'CC', 'MAX', 'PCC']","[0.12464843 0.11728252 0.10749836 0.09366412 0.09338922 0.09153514
 0.08565144 0.07612007 0.07366479 0.07084593 0.06569998]","[np.float64(0.05398233333333332), np.float64(0.05737268369345239), np.float64(0.06259456495000004), np.float64(0.0718398125666666), np.float64(0.07205127890666665), np.float64(0.07351070833333335), np.float64(0.07856041924999996), np.float64(0.08839735391833325), np.float64(0.091343675), np.float64(0.0949781162066666), np.float64(0.10241727448083342)]","['HDy', 'DyS', 'SORD', 'MS', 'SMM', 'MAX', 'X', 'ACC', 'PACC', 'CC', 'PCC']","[0.12486595 0.1206118  0.1092577  0.10768556 0.10632275 0.08379814
 0.08379814 0.08266598 0.07658404 0.05902024 0.04538971]","[np.float64(0.00735), np.float64(0.007609245), np.float64(0.0084), np.float64(0.008522634999999999), np.float64(0.008631875), np.float64(0.010952090000000001), np.float64(0.010952090000000001), np.float64(0.011102085), np.float64(0.011983760000000001), np.float64(0.01555), np.float64(0.020219665)]"
pol,"['HDy', 'DyS', 'SMM', 'MS', 'SORD', 'MAX', 'X', 'ACC', 'PCC', 'CC', 'PACC']","[0.14607191 0.14112729 0.12133182 0.11412427 0.10166115 0.07948563
 0.0776455  0.07543624 0.05331019 0.05221649 0.03758951]","[np.float64(0.06558787499999999), np.float64(0.06788585145416666), np.float64(0.07896153312499997), np.float64(0.08394837243000003), np.float64(0.09423999999999996), np.float64(0.12053181120000003), np.float64(0.12338830451000005), np.float64(0.1270019058791668), np.float64(0.1797132152016667), np.float64(0.18347741666666664), np.float64(0.25487285632500006)]","['DyS', 'SORD', 'MS', 'SMM', 'MAX', 'ACC', 'HDy', 'X', 'PACC', 'CC', 'PCC']","[0.12700045 0.11788182 0.11744606 0.11499267 0.11121324 0.10329653
 0.09689173 0.09024414 0.05309289 0.04134661 0.02659387]","[np.float64(0.02399397), np.float64(0.025849999999999998), np.float64(0.02594591), np.float64(0.02649947), np.float64(0.02740002), np.float64(0.029499974999999998), np.float64(0.03145), np.float64(0.03376668), np.float64(0.05739459), np.float64(0.0737), np.float64(0.11458449500000001)]"
pollen,"['SORD', 'MS', 'HDy', 'DyS', 'ACC', 'X', 'SMM', 'PCC', 'MAX', 'CC', 'PACC']","[0.11016366 0.10043195 0.10034656 0.09259086 0.09243936 0.09237324
 0.0915297  0.09015414 0.08209202 0.0760766  0.07180189]","[np.float64(0.19098338333333342), np.float64(0.20948940085), np.float64(0.2096676666666666), np.float64(0.22723008836666664), np.float64(0.22760248802666666), np.float64(0.22776540775499987), np.float64(0.2298645079249999), np.float64(0.23337174519999998), np.float64(0.25629079640333335), np.float64(0.27655584999999994), np.float64(0.29302053071666667)]","['PACC', 'PCC', 'X', 'ACC', 'CC', 'MS', 'HDy', 'SORD', 'MAX', 'DyS', 'SMM']","[0.12096537 0.12096537 0.11793492 0.10492611 0.10492611 0.08651126
 0.07482385 0.07379138 0.07177722 0.06186568 0.06151272]","[np.float64(0.26304092), np.float64(0.26304092), np.float64(0.2698), np.float64(0.30325), np.float64(0.30325), np.float64(0.3678), np.float64(0.42524999999999996), np.float64(0.43119999999999997), np.float64(0.44329999999999997), np.float64(0.5143213750000001), np.float64(0.517272535)]"
puma32H,"['SMM', 'X', 'SORD', 'DyS', 'MAX', 'MS', 'ACC', 'HDy', 'CC', 'PCC', 'PACC']","[0.15378061 0.13853144 0.11064368 0.10439516 0.09301909 0.0899832
 0.07722435 0.07454444 0.05661886 0.05427454 0.04698463]","[np.float64(0.06858916824999998), np.float64(0.07613927641249998), np.float64(0.0953302), np.float64(0.10103614015), np.float64(0.11339267639), np.float64(0.11721836560833333), np.float64(0.13658494681249997), np.float64(0.14149525000000013), np.float64(0.18629275), np.float64(0.1943394538916665), np.float64(0.224492197725)]","['ACC', 'X', 'MAX', 'SORD', 'DyS', 'SMM', 'MS', 'HDy', 'CC', 'PACC', 'PCC']","[0.10629945 0.10629945 0.10451141 0.10405707 0.1036334  0.09939069
 0.09761945 0.09579538 0.06748804 0.06392392 0.05098173]","[np.float64(0.11634287), np.float64(0.11634287), np.float64(0.118333335), np.float64(0.11885), np.float64(0.119335885), np.float64(0.12443), np.float64(0.126687695), np.float64(0.1291), np.float64(0.18325), np.float64(0.193467215), np.float64(0.242580675)]"
puma8NH,"['DyS', 'SORD', 'MAX', 'X', 'SMM', 'MS', 'HDy', 'ACC', 'CC', 'PACC', 'PCC']","[0.12561436 0.1244732  0.11807344 0.1150837  0.11437434 0.09664521
 0.08800292 0.08382339 0.04741654 0.0461995  0.04029339]","[np.float64(0.04845895596666666), np.float64(0.048903225000000036), np.float64(0.05155385418083332), np.float64(0.05289316329166667), np.float64(0.053221212449999965), np.float64(0.06298440017500001), np.float64(0.06916975833333336), np.float64(0.07261864232333333), np.float64(0.12837590000000007), np.float64(0.1317577202899999), np.float64(0.15107044118749988)]","['DyS', 'HDy', 'SORD', 'MS', 'SMM', 'MAX', 'ACC', 'X', 'CC', 'PACC', 'PCC']","[0.14467078 0.12040099 0.11088906 0.10290465 0.10254984 0.10007635
 0.09943742 0.09821672 0.05012936 0.04032953 0.0303953 ]","[np.float64(0.036868285), np.float64(0.0443), np.float64(0.048100000000000004), np.float64(0.051832095), np.float64(0.05201143), np.float64(0.053296945000000005), np.float64(0.053639400000000004), np.float64(0.054306064999999994), np.float64(0.10640000000000001), np.float64(0.13225456), np.float64(0.17547989)]"
quake,"['X', 'HDy', 'MAX', 'DyS', 'SORD', 'MS', 'SMM', 'ACC', 'PCC', 'PACC', 'CC']","[0.13875368 0.12513278 0.11002834 0.1066096  0.10401405 0.09181893
 0.09129793 0.07107216 0.06378217 0.05317724 0.0443131 ]","[np.float64(0.10951642262583337), np.float64(0.12143745833333341), np.float64(0.1381081182083334), np.float64(0.14253694149999993), np.float64(0.14609379166666675), np.float64(0.16549753188750008), np.float64(0.16644196005000006), np.float64(0.2138081476999999), np.float64(0.23824535603000005), np.float64(0.28575772820833334), np.float64(0.3429190666666664)]","['PCC', 'HDy', 'DyS', 'ACC', 'SORD', 'SMM', 'MS', 'X', 'CC', 'MAX', 'PACC']","[0.13091612 0.10568484 0.09954142 0.08989024 0.08787758 0.0865662
 0.08590592 0.08585428 0.08024265 0.07778989 0.06973086]","[np.float64(0.26631883500000003), np.float64(0.3299), np.float64(0.35026052), np.float64(0.387866675), np.float64(0.39675), np.float64(0.40276033), np.float64(0.405855955), np.float64(0.406100055), np.float64(0.43450000000000005), np.float64(0.4482), np.float64(0.5)]"
space_ga,"['ACC', 'X', 'CC', 'PCC', 'MS', 'SMM', 'PACC', 'DyS', 'HDy', 'MAX', 'SORD']","[0.14974353 0.11838924 0.1153999  0.10006655 0.08564413 0.08309296
 0.08150778 0.07672017 0.06496838 0.06238777 0.0620796 ]","[np.float64(0.11001693289833338), np.float64(0.13915389583250004), np.float64(0.14275856666666675), np.float64(0.16463367426666664), np.float64(0.19235788774999993), np.float64(0.19826377038999987), np.float64(0.20211964202083332), np.float64(0.2147326250375001), np.float64(0.2535744999999998), np.float64(0.26406334970333345), np.float64(0.26537420000000017)]","['DyS', 'SORD', 'MS', 'SMM', 'HDy', 'MAX', 'ACC', 'X', 'PACC', 'CC', 'PCC']","[0.12282401 0.1217297  0.12087921 0.1205617  0.10599278 0.09565886
 0.09413489 0.0881933  0.05534472 0.04351108 0.03116974]","[np.float64(0.034043955), np.float64(0.03435), np.float64(0.03459168), np.float64(0.03468278), np.float64(0.039450000000000006), np.float64(0.04371174), np.float64(0.044419395), np.float64(0.047411934999999995), np.float64(0.07555219), np.float64(0.09609999999999999), np.float64(0.13414983)]"
