dataset,predicted_ranking,true_ranking,predicted_ranking_error,true_ranking_error
eeg,"['SMM', 'DyS', 'SORD', 'X', 'MAX', 'HDy', 'PCC', 'MS', 'ACC', 'PACC', 'CC']","['HDy', 'SORD', 'DyS', 'SMM', 'PACC', 'PCC', 'MAX', 'X', 'ACC', 'CC', 'MS']","[np.float64(0.07888549999999996), np.float64(0.07978500000000008), np.float64(0.08024949999999999), np.float64(0.08144850000000005), np.float64(0.08629199999999998), np.float64(0.08976549999999998), np.float64(0.20752700000000004), np.float64(0.27156800000000003), np.float64(0.27860450000000003), np.float64(0.32264500000000007), np.float64(0.34690300000000024)]","[np.float64(0.19845000000000002), np.float64(0.22195), np.float64(0.22475), np.float64(0.2407), np.float64(0.26139999999999997), np.float64(0.26139999999999997), np.float64(0.28635), np.float64(0.28635), np.float64(0.49985), np.float64(0.49985), np.float64(0.49985)]"
jm1-processed,"['SMM', 'HDy', 'SORD', 'MAX', 'X', 'DyS', 'PCC', 'ACC', 'PACC', 'MS', 'CC']","['DyS', 'SORD', 'MAX', 'SMM', 'X', 'HDy', 'MS', 'ACC', 'PCC', 'CC', 'PACC']","[np.float64(0.08871849999999995), np.float64(0.10674149999999992), np.float64(0.10773799999999996), np.float64(0.1298075), np.float64(0.13293099999999997), np.float64(0.14126099999999997), np.float64(0.20253149999999998), np.float64(0.30983249999999996), np.float64(0.32747799999999994), np.float64(0.334028), np.float64(0.34718050000000006)]","[np.float64(0.0952), np.float64(0.10965), np.float64(0.11005000000000001), np.float64(0.11600000000000002), np.float64(0.11835), np.float64(0.1266), np.float64(0.17655), np.float64(0.2076), np.float64(0.3255), np.float64(0.46215), np.float64(0.5)]"
letter-recognition,"['SMM', 'HDy', 'SORD', 'MAX', 'DyS', 'X', 'PCC', 'ACC', 'MS', 'PACC', 'CC']","['DyS', 'SORD', 'SMM', 'MAX', 'X', 'HDy', 'MS', 'ACC', 'PCC', 'CC', 'PACC']","[np.float64(0.08445949999999998), np.float64(0.09877699999999993), np.float64(0.11426249999999995), np.float64(0.12621449999999998), np.float64(0.13244900000000004), np.float64(0.144775), np.float64(0.18781150000000008), np.float64(0.2892954999999998), np.float64(0.31280999999999987), np.float64(0.3327915000000001), np.float64(0.3426420000000001)]","[np.float64(0.0766), np.float64(0.0804), np.float64(0.08505), np.float64(0.08715), np.float64(0.08715), np.float64(0.0994), np.float64(0.14025), np.float64(0.20470000000000002), np.float64(0.31205), np.float64(0.4474), np.float64(0.5)]"
magic,"['SMM', 'HDy', 'SORD', 'MAX', 'DyS', 'X', 'PCC', 'ACC', 'MS', 'CC', 'PACC']","['DyS', 'SMM', 'SORD', 'MS', 'MAX', 'X', 'ACC', 'HDy', 'PACC', 'CC', 'PCC']","[np.float64(0.1021564999999999), np.float64(0.10763599999999995), np.float64(0.10977849999999993), np.float64(0.13748650000000004), np.float64(0.13804999999999998), np.float64(0.13919250000000005), np.float64(0.21604600000000013), np.float64(0.2981139999999999), np.float64(0.3222244999999998), np.float64(0.32434300000000005), np.float64(0.33755100000000005)]","[np.float64(0.047950000000000007), np.float64(0.0539), np.float64(0.05455), np.float64(0.05525), np.float64(0.058100000000000006), np.float64(0.058100000000000006), np.float64(0.0635), np.float64(0.0836), np.float64(0.1349), np.float64(0.18445), np.float64(0.1845)]"
mozilla,"['SMM', 'HDy', 'SORD', 'MAX', 'X', 'DyS', 'PCC', 'MS', 'ACC', 'PACC', 'CC']","['DyS', 'SORD', 'MS', 'X', 'MAX', 'SMM', 'ACC', 'HDy', 'CC', 'PACC', 'PCC']","[np.float64(0.0973484999999999), np.float64(0.11076649999999993), np.float64(0.12303650000000001), np.float64(0.1231879999999999), np.float64(0.140089), np.float64(0.143607), np.float64(0.24645900000000023), np.float64(0.2758994999999999), np.float64(0.313484), np.float64(0.31632800000000005), np.float64(0.3372045000000001)]","[np.float64(0.0388), np.float64(0.0398), np.float64(0.04005), np.float64(0.042249999999999996), np.float64(0.042749999999999996), np.float64(0.043100000000000006), np.float64(0.044950000000000004), np.float64(0.046950000000000006), np.float64(0.09585), np.float64(0.13705), np.float64(0.18055000000000002)]"
namao,"['SMM', 'SORD', 'HDy', 'MAX', 'X', 'DyS', 'PCC', 'ACC', 'MS', 'CC', 'PACC']","['DyS', 'MS', 'SORD', 'SMM', 'ACC', 'X', 'MAX', 'HDy', 'PACC', 'CC', 'PCC']","[np.float64(0.09565799999999992), np.float64(0.1150994999999999), np.float64(0.11921799999999991), np.float64(0.12145600000000002), np.float64(0.1389304999999999), np.float64(0.1401205), np.float64(0.20898650000000005), np.float64(0.27872250000000004), np.float64(0.31171199999999993), np.float64(0.3442930000000001), np.float64(0.36544650000000023)]","[np.float64(0.01545), np.float64(0.0167), np.float64(0.017), np.float64(0.017800000000000003), np.float64(0.01975), np.float64(0.02015), np.float64(0.02065), np.float64(0.02275), np.float64(0.02515), np.float64(0.044700000000000004), np.float64(0.0615)]"
occupancy,"['HDy', 'SMM', 'SORD', 'MAX', 'DyS', 'X', 'PCC', 'ACC', 'MS', 'CC', 'PACC']","['ACC', 'DyS', 'SORD', 'MAX', 'MS', 'CC', 'X', 'SMM', 'HDy', 'PCC', 'PACC']","[np.float64(0.09413050000000002), np.float64(0.09592149999999994), np.float64(0.10912099999999994), np.float64(0.118816), np.float64(0.12155200000000005), np.float64(0.14191149999999997), np.float64(0.2194960000000001), np.float64(0.27093999999999985), np.float64(0.29794949999999987), np.float64(0.3377895000000003), np.float64(0.3518784999999999)]","[np.float64(0.007549999999999999), np.float64(0.007549999999999999), np.float64(0.0078), np.float64(0.00785), np.float64(0.00795), np.float64(0.00915), np.float64(0.009600000000000001), np.float64(0.010150000000000001), np.float64(0.0182), np.float64(0.0294), np.float64(0.0306)]"
phoneme,"['SMM', 'SORD', 'HDy', 'X', 'MAX', 'DyS', 'PCC', 'ACC', 'MS', 'CC', 'PACC']","['DyS', 'SORD', 'MAX', 'SMM', 'X', 'HDy', 'MS', 'ACC', 'PACC', 'PCC', 'CC']","[np.float64(0.10290649999999993), np.float64(0.10993449999999994), np.float64(0.11155299999999993), np.float64(0.12504999999999997), np.float64(0.1326785000000001), np.float64(0.1343755), np.float64(0.20255350000000008), np.float64(0.2937139999999998), np.float64(0.30806399999999995), np.float64(0.3455155000000002), np.float64(0.3509039999999999)]","[np.float64(0.046700000000000005), np.float64(0.0521), np.float64(0.05800000000000001), np.float64(0.05800000000000001), np.float64(0.0601), np.float64(0.0685), np.float64(0.07965), np.float64(0.09759999999999999), np.float64(0.1704), np.float64(0.23115000000000002), np.float64(0.2555)]"
spambase,"['SMM', 'SORD', 'HDy', 'MAX', 'DyS', 'X', 'PCC', 'ACC', 'MS', 'CC', 'PACC']","['DyS', 'SORD', 'MAX', 'MS', 'SMM', 'X', 'ACC', 'HDy', 'PACC', 'CC', 'PCC']","[np.float64(0.10675549999999992), np.float64(0.10829899999999996), np.float64(0.1164069999999999), np.float64(0.1306825), np.float64(0.13542750000000012), np.float64(0.1380765), np.float64(0.21084100000000003), np.float64(0.2785614999999999), np.float64(0.2941639999999999), np.float64(0.3504210000000002), np.float64(0.367714)]","[np.float64(0.02555), np.float64(0.026500000000000003), np.float64(0.02665), np.float64(0.028450000000000003), np.float64(0.028750000000000005), np.float64(0.028800000000000003), np.float64(0.03760000000000001), np.float64(0.0453), np.float64(0.0743), np.float64(0.08575), np.float64(0.1014)]"
winetype,"['SMM', 'HDy', 'SORD', 'MAX', 'DyS', 'X', 'PCC', 'ACC', 'MS', 'CC', 'PACC']","['DyS', 'MAX', 'X', 'SORD', 'CC', 'MS', 'PACC', 'SMM', 'ACC', 'PCC', 'HDy']","[np.float64(0.10055999999999997), np.float64(0.11236699999999993), np.float64(0.11391649999999995), np.float64(0.13437900000000008), np.float64(0.13756849999999998), np.float64(0.14602849999999998), np.float64(0.21266600000000005), np.float64(0.24800249999999996), np.float64(0.3064340000000001), np.float64(0.34092350000000016), np.float64(0.3568545)]","[np.float64(0.007050000000000001), np.float64(0.007299999999999999), np.float64(0.009049999999999999), np.float64(0.0094), np.float64(0.01055), np.float64(0.0108), np.float64(0.01175), np.float64(0.01265), np.float64(0.01305), np.float64(0.0184), np.float64(0.01855)]"
