abs_error,run_time
0.0465,0.0
0.014499999999999999,0.0007811188697814941
0.02,0.00010017156600952148
0.092,0.0
0.019,0.0
0.04,0.0
0.042499999999999996,0.051480448246002196
0.0075,0.049716269969940184
0.013999999999999999,0.04610909223556518
0.0605,0.22367360591888427
0.0085,0.22224096059799195
0.026000000000000002,0.21273109912872315
0.048,0.0005295157432556152
0.013000000000000001,0.0
0.0165,0.0007796287536621094
0.046,0.029343008995056152
0.013000000000000001,0.030851471424102783
0.0185,0.02961752414703369
0.0795,0.00201493501663208
0.022,0.0007825732231140137
0.022,0.001940464973449707
0.144,0.002515256404876709
0.029500000000000005,0.002342116832733154
0.05450000000000001,0.0043615221977233885
0.046,0.0
0.01,0.0
0.0195,0.0015622615814208985
0.041999999999999996,1.436449444293976
0.0115,1.4199174523353577
0.017499999999999998,0.37024677991867067
0.0475,0.000782632827758789
0.014499999999999999,0.0007813334465026856
0.021,0.0
