quantifier,dataset,abs_error,run_time
ACC,winetype,0.0046500000000000005,0.000250112999783596
CC,1043_ada_agnostic,0.1856,8.84100008988753e-06
CC,1460_banana,0.36840000000000006,8.524500153725966e-06
CC,1462_banknote-authentication,0.014750000000000001,8.470998727716505e-06
CC,1466_cardiotocography,0.0,8.399999787798151e-06
CC,1475_first-order-theorem-proving,0.18530000000000002,8.894000930013135e-06
CC,1479_hill-valley,0.3135,8.506501035299153e-06
CC,1485_madelon,0.2514,8.644999470561742e-06
CC,1489_phoneme,0.2443,8.658000879222528e-06
CC,1494_qsar-biodeg,0.07065,8.434000628767535e-06
CC,1496_ringnorm,0.13545,8.744501101318747e-06
CC,1497_wall-robot-navigation,0.15755,8.597000560257584e-06
CC,1504_steel-plates-fault,0.0,8.442999824183062e-06
CC,1507_twonorm,0.01555,8.665500499773771e-06
CC,1526_wall-robot-navigation,0.26795,8.56850077980198e-06
CC,1535_volcanoes-b5,0.3494,8.622998866485431e-06
CC,1538_volcanoes-d1,0.45655,8.665999775985255e-06
CC,1539_volcanoes-d2,0.4465,8.560499554732815e-06
CC,1540_volcanoes-d3,0.46380000000000005,8.612999081378803e-06
CC,1541_volcanoes-d4,0.47409999999999997,8.624999318271875e-06
CC,1566_hill-valley,0.24625,8.578000270063057e-06
CC,182_satimage,0.0134,8.705999498488381e-06
CC,23_cmc,0.22755,8.42049965285696e-06
CC,28_optdigits,0.0407,8.811999286990612e-06
CC,294_satellite_image,0.01765,8.987501496449113e-06
CC,2dplanes,0.0925,8.944499859353527e-06
CC,30_page-blocks,0.13935,8.587999764131382e-06
CC,312_scene,0.0354,8.795999456197023e-06
CC,375_JapaneseVowels,0.0571,8.719001343706622e-06
CC,40474_thyroid-allbp,0.15475,8.57150022056885e-06
CC,40475_thyroid-allhyper,0.15475,8.748500258661806e-06
CC,40733_yeast,0.36485,8.351500582648441e-06
CC,44_spambase,0.052300000000000006,8.939998806454242e-06
CC,4538_GesturePhaseSegmentationProcessed,0.36875,8.77199912793003e-06
CC,60_waveform-5000,0.0786,8.730000699870288e-06
CC,679_rmftsa_sleepdata,0.3357,8.501999691361561e-06
CC,AedesQuinx,0.0981,8.970999624580145e-06
CC,AedesSex,0.0146,8.967000030679629e-06
CC,ArabicDigit,0.0104,8.727000531507656e-06
CC,BNG,0.0172,8.805000106804073e-06
CC,BNG_breast-w,0.0172,8.90949959284626e-06
CC,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.2846,8.3404996257741e-06
CC,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1,0.2625,8.577000553486869e-06
CC,HTRU,0.0913,8.762999350437894e-06
CC,MagicTelescope,0.1855,8.812000596662983e-06
CC,abalone,0.1148,8.763499645283446e-06
CC,ailerons,0.06955,8.925501751946286e-06
CC,anuranCalls,0.04245,8.711500413483009e-06
CC,balloon,0.11715,8.347999246325344e-06
CC,bank8FM,0.038149999999999996,8.65950103616342e-06
CC,churn,0.34575,8.586999319959432e-06
CC,clean2,0.0,8.778999326750636e-06
CC,click-prediction,0.4972,8.826001285342499e-06
CC,cmc,0.2268,8.58649902511388e-06
CC,covtype_reduced,0.1301,8.775000023888425e-06
CC,cpu_act,0.0643,8.71999975061044e-06
CC,default_credit_card_clients,0.3768,8.821499941404909e-06
CC,delta_ailerons,0.038650000000000004,8.613500540377572e-06
CC,eeg,0.2942,8.75449986779131e-06
CC,electricity-normalized,0.16949999999999998,8.893002377590164e-06
CC,elevators,0.11135,8.895499049685896e-06
CC,file22f0e4a679,0.0151,8.539498812751845e-06
CC,file79b563a1a18,0.14150000000000001,8.801000367384404e-06
CC,file7b5365fa741c,0.16870000000000002,8.704499632585794e-06
CC,fri_c2_1000_10,0.1643,8.39800006360747e-06
CC,fried,0.0908,8.788499399088323e-06
CC,gina_agnostic,0.0958,8.687999506946654e-06
CC,houses,0.02205,8.658999286126346e-06
CC,jm1-processed,0.43245,8.744000078877434e-06
CC,kdd_JapaneseVowels,0.0571,8.683999330969528e-06
CC,kin8nm,0.14885,8.590497745899484e-06
CC,letter-recognition,0.4382,8.816999470582231e-06
CC,magic,0.1855,8.970999042503536e-06
CC,mozilla,0.0916,8.675000572111458e-06
CC,namao,0.04485,8.721499616513029e-06
CC,occupancy,0.0066500000000000005,8.873000915627926e-06
CC,page-blocks,0.13935,8.592500234954059e-06
CC,parity5_plus_5,0.28559999999999997,8.371500007342547e-06
CC,pendigits,0.01075,8.664999768370762e-06
CC,phoneme,0.24775,8.62249915371649e-06
CC,php50jXam,0.014750000000000001,8.421500970143825e-06
CC,phpGUrE90,0.0653,8.547999896109104e-06
CC,phpMD2hR6,0.1805,8.736500603845343e-06
CC,phpV5QYya,0.046900000000000004,8.745502127567306e-06
CC,phpWfYmlu,0.1309,8.747498504817486e-06
CC,phphQEck0,0.07725,8.734000293770806e-06
CC,phplE7q6h,0.2897,8.800998330116272e-06
CC,phpmPOD5A,0.5,8.888497832231224e-06
CC,phpwRjVjk,0.36565,8.479999378323555e-06
CC,phpxijhaP,0.01555,8.640000451123343e-06
CC,pol,0.0737,8.819499489618466e-06
CC,pollen,0.30325,8.593000384280458e-06
CC,puma32H,0.18325,8.744500373722985e-06
CC,puma8NH,0.10640000000000001,8.639001025585458e-06
CC,quake,0.43450000000000005,8.31599871162325e-06
CC,space_ga,0.09609999999999999,8.609000651631505e-06
CC,spambase,0.052300000000000006,8.74099918291904e-06
CC,sylva_prior,0.011699999999999999,8.807001286186278e-06
CC,visualizing_soil,0.00395,8.653500262880698e-06
CC,wind,0.08375,8.619000436738133e-06
